Vd Vg Vs Vb L Ids qs  
0.05 0.444444444444 0 0 1e-06 1.249e-07 -6.572e-17 
1.0 0.444444444444 0 0 1e-06 3.113e-07 -5.660e-17 
0.05 0.454545454545 0 0 1e-06 1.342e-07 -7.040e-17 
1.0 0.454545454545 0 0 1e-06 3.457e-07 -6.046e-17 
0.05 0.464646464646 0 0 1e-06 1.436e-07 -7.518e-17 
1.0 0.464646464646 0 0 1e-06 3.822e-07 -6.439e-17 
0.05 0.474747474747 0 0 1e-06 1.530e-07 -8.006e-17 
1.0 0.474747474747 0 0 1e-06 4.207e-07 -6.838e-17 
0.05 0.484848484848 0 0 1e-06 1.625e-07 -8.501e-17 
1.0 0.484848484848 0 0 1e-06 4.613e-07 -7.244e-17 
0.05 0.494949494949 0 0 1e-06 1.721e-07 -9.005e-17 
1.0 0.494949494949 0 0 1e-06 5.039e-07 -7.656e-17 
0.05 0.505050505051 0 0 1e-06 1.816e-07 -9.517e-17 
1.0 0.505050505051 0 0 1e-06 5.486e-07 -8.073e-17 
0.05 0.515151515152 0 0 1e-06 1.912e-07 -1.004e-16 
1.0 0.515151515152 0 0 1e-06 5.954e-07 -8.496e-17 
0.05 0.525252525253 0 0 1e-06 2.007e-07 -1.056e-16 
1.0 0.525252525253 0 0 1e-06 6.441e-07 -8.923e-17 
0.05 0.535353535354 0 0 1e-06 2.102e-07 -1.109e-16 
1.0 0.535353535354 0 0 1e-06 6.949e-07 -9.356e-17 
0.05 0.545454545455 0 0 1e-06 2.196e-07 -1.163e-16 
1.0 0.545454545455 0 0 1e-06 7.476e-07 -9.793e-17 
0.05 0.555555555556 0 0 1e-06 2.290e-07 -1.217e-16 
1.0 0.555555555556 0 0 1e-06 8.024e-07 -1.023e-16 
0.05 0.565656565657 0 0 1e-06 2.383e-07 -1.272e-16 
1.0 0.565656565657 0 0 1e-06 8.591e-07 -1.068e-16 
0.05 0.575757575758 0 0 1e-06 2.475e-07 -1.328e-16 
1.0 0.575757575758 0 0 1e-06 9.177e-07 -1.113e-16 
0.05 0.585858585859 0 0 1e-06 2.567e-07 -1.383e-16 
1.0 0.585858585859 0 0 1e-06 9.782e-07 -1.158e-16 
0.05 0.59595959596 0 0 1e-06 2.657e-07 -1.440e-16 
1.0 0.59595959596 0 0 1e-06 1.041e-06 -1.204e-16 
0.05 0.606060606061 0 0 1e-06 2.747e-07 -1.496e-16 
1.0 0.606060606061 0 0 1e-06 1.105e-06 -1.250e-16 
0.05 0.616161616162 0 0 1e-06 2.835e-07 -1.554e-16 
1.0 0.616161616162 0 0 1e-06 1.171e-06 -1.296e-16 
0.05 0.626262626263 0 0 1e-06 2.922e-07 -1.611e-16 
1.0 0.626262626263 0 0 1e-06 1.239e-06 -1.342e-16 
0.05 0.636363636364 0 0 1e-06 3.008e-07 -1.669e-16 
1.0 0.636363636364 0 0 1e-06 1.309e-06 -1.389e-16 
0.05 0.646464646465 0 0 1e-06 3.093e-07 -1.727e-16 
