Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.05 0.326530612245 0 0 1e-07 1e-07 3.63915279025e-07 5.7601361554e-19 0 0
0.5 0.326530612245 0 0 1e-07 1e-07 4.36079746424e-07 4.95772391922e-19 0 0
0.05 0.336734693878 0 0 1e-07 1e-07 5.16028172599e-07 7.82021575954e-19 0 0
0.5 0.336734693878 0 0 1e-07 1e-07 6.20908288219e-07 6.7034850294e-19 0 0
0.05 0.34693877551 0 0 1e-07 1e-07 7.18099054283e-07 1.0434190891e-18 0 0
0.5 0.34693877551 0 0 1e-07 1e-07 8.70470165999e-07 8.89224835837e-19 0 0
0.05 0.357142857143 0 0 1e-07 1e-07 9.7677826899e-07 1.36638447437e-18 0 0
0.5 0.357142857143 0 0 1e-07 1e-07 1.19776604376e-06 1.15528413981e-18 0 0
0.05 0.367346938776 0 0 1e-07 1e-07 1.29536725085e-06 1.75539444995e-18 0 0
0.5 0.367346938776 0 0 1e-07 1e-07 1.61458067202e-06 1.46915673973e-18 0 0
0.05 0.377551020408 0 0 1e-07 1e-07 1.67321827924e-06 2.21321114452e-18 0 0
0.5 0.377551020408 0 0 1e-07 1e-07 2.13093105771e-06 1.82947011941e-18 0 0
0.05 0.387755102041 0 0 1e-07 1e-07 2.10610066628e-06 2.74100118511e-18 0 0
0.5 0.387755102041 0 0 1e-07 1e-07 2.75500218405e-06 2.23342571849e-18 0 0
0.05 0.397959183673 0 0 1e-07 1e-07 2.5873836658e-06 3.33842989724e-18 0 0
0.5 0.397959183673 0 0 1e-07 1e-07 3.49341196076e-06 2.67744485712e-18 0 0
0.05 0.408163265306 0 0 1e-07 1e-07 3.10957234188e-06 4.00373438404e-18 0 0
0.5 0.408163265306 0 0 1e-07 1e-07 4.35160161273e-06 3.15770253829e-18 0 0
0.05 0.418367346939 0 0 1e-07 1e-07 3.66565158166e-06 4.73387895132e-18 0 0
0.5 0.418367346939 0 0 1e-07 1e-07 5.33420902766e-06 3.67048487331e-18 0 0
0.05 0.428571428571 0 0 1e-07 1e-07 4.24989085316e-06 5.52485312534e-18 0 0
0.5 0.428571428571 0 0 1e-07 1e-07 6.44536273481e-06 4.21238553362e-18 0 0
0.05 0.438775510204 0 0 1e-07 1e-07 4.85807863322e-06 6.37206746824e-18 0 0
0.5 0.438775510204 0 0 1e-07 1e-07 7.68888778125e-06 4.78038665089e-18 0 0
0.05 0.448979591837 0 0 1e-07 1e-07 5.48737076513e-06 7.27074717552e-18 0 0
0.5 0.448979591837 0 0 1e-07 1e-07 9.0684382371e-06 5.37186903441e-18 0 0
0.05 0.459183673469 0 0 1e-07 1e-07 6.13597490995e-06 8.21624326228e-18 0 0
0.5 0.459183673469 0 0 1e-07 1e-07 1.05875760687e-05 5.98458495411e-18 0 0
0.05 0.469387755102 0 0 1e-07 1e-07 6.80282396226e-06 9.20423227289e-18 0 0
0.5 0.469387755102 0 0 1e-07 1e-07 1.22498134013e-05 6.61661461582e-18 0 0
0.05 0.479591836735 0 0 1e-07 1e-07 7.48730749546e-06 1.02308155116e-17 0 0
0.5 0.479591836735 0 0 1e-07 1e-07 1.40586307202e-05 7.26631838591e-18 0 0
0.05 0.489795918367 0 0 1e-07 1e-07 8.18907548722e-06 1.12925456042e-17 0 0
0.5 0.489795918367 0 0 1e-07 1e-07 1.60174796819e-05 7.93229100486e-18 0 0
0.05 0.5 0 0 1e-07 1e-07 8.90790442189e-06 1.23864084975e-17 0 0
0.5 0.5 0 0 1e-07 1e-07 1.81297764479e-05 8.61332062861e-18 0 0
