Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.05 0.0 0 0 1e-07 1e-07 2.45237564407e-12 4.83901806276e-24 -9.41247081425e-09 0.0
0.5 0.0 0 0 1e-07 1e-07 2.97761694508e-12 4.23283208273e-24 -8.23336634075e-09 0.0
0.05 0.0102040816327 0 0 1e-07 1e-07 3.55334766356e-12 7.01144234501e-24 -1.36380967341e-08 0.0
0.5 0.0102040816327 0 0 1e-07 1e-07 4.31300263761e-12 6.13114213555e-24 -1.19258071907e-08 0.0
0.05 0.0204081632653 0 0 1e-07 1e-07 5.14859306908e-12 1.01591503679e-23 -1.97607665637e-08 0.0
0.5 0.0204081632653 0 0 1e-07 1e-07 6.24727695083e-12 8.88079038956e-24 -1.72742030025e-08 0.0
0.05 0.030612244898 0 0 1e-07 1e-07 7.46001438134e-12 1.47199813933e-23 -2.86321302077e-08 0.0
0.5 0.030612244898 0 0 1e-07 1e-07 9.04902933833e-12 1.28635754347e-23 -2.50211978496e-08 0.0
0.05 0.0408163265306 0 0 1e-07 1e-07 1.08091388563e-11 2.13283332635e-23 -4.14861675975e-08 0.0
0.5 0.0408163265306 0 0 1e-07 1e-07 1.31073086162e-11 1.86325179283e-23 -3.62424832726e-08 0.0
0.05 0.0510204081633 0 0 1e-07 1e-07 1.5661848245e-11 3.09033999967e-23 -6.01108214015e-08 0.0
0.5 0.0510204081633 0 0 1e-07 1e-07 1.89856502862e-11 2.69886442033e-23 -5.24961516128e-08 0.0
0.05 0.0612244897959 0 0 1e-07 1e-07 2.26931941778e-11 4.47770168218e-23 -8.70966709604e-08 0.0
0.5 0.0612244897959 0 0 1e-07 1e-07 2.75003386164e-11 3.90921998567e-23 -7.60390197853e-08 0.0
0.05 0.0714285714286 0 0 1e-07 1e-07 3.28813215732e-11 6.48788875527e-23 -1.26197221757e-07 0.0
0.5 0.0714285714286 0 0 1e-07 1e-07 3.98337775302e-11 5.6623728274e-23 -1.1013994634e-07 0.0
0.05 0.0816326530612 0 0 1e-07 1e-07 4.76435785704e-11 9.40049418392e-23 -1.8285089247e-07 0.0
0.5 0.0816326530612 0 0 1e-07 1e-07 5.76987270351e-11 8.20173646788e-23 -1.59533616384e-07 0.0
0.05 0.0918367346939 0 0 1e-07 1e-07 6.90337748687e-11 1.36206114082e-22 -2.64937236623e-07 0.0
0.5 0.0918367346939 0 0 1e-07 1e-07 8.35762408868e-11 1.18798706254e-22 -2.31077739508e-07 0.0
0.05 0.102040816327 0 0 1e-07 1e-07 1.00028087937e-10 1.97351546138e-22 -3.83872439424e-07 0.0
0.5 0.102040816327 0 0 1e-07 1e-07 1.21060408528e-10 1.72074102948e-22 -3.34704779127e-07 0.0
0.05 0.112244897959 0 0 1e-07 1e-07 1.44939514529e-10 2.85944394137e-22 -5.56196159924e-07 0.0
0.5 0.112244897959 0 0 1e-07 1e-07 1.75357905064e-10 2.49239161991e-22 -4.84800078771e-07 0.0
0.05 0.122448979592 0 0 1e-07 1e-07 2.10018785961e-10 4.1430338016e-22 -8.05869790817e-07 0.0
0.5 0.122448979592 0 0 1e-07 1e-07 2.54011996867e-10 3.61004537064e-22 -7.02197145135e-07 0.0
0.05 0.132653061224 0 0 1e-07 1e-07 3.04325897606e-10 6.0027373559e-22 -1.16760444857e-06 0.0
0.5 0.132653061224 0 0 1e-07 1e-07 3.67952125907e-10 5.22880790989e-22 -1.01706588417e-06 0.0
0.05 0.142857142857 0 0 1e-07 1e-07 4.40994662444e-10 8.69704047295e-22 -1.69167873647e-06 0.0
0.5 0.142857142857 0 0 1e-07 1e-07 5.33016052526e-10 7.57327160392e-22 -1.47309220622e-06 0.0
0.05 0.15306122449 0 0 1e-07 1e-07 6.39068659056e-10 1.26003043884e-21 -2.4509104072e-06 0.0
0.5 0.15306122449 0 0 1e-07 1e-07 7.72158505005e-10 1.09685975904e-21 -2.1335238545e-06 0.0
0.05 0.163265306122 0 0 1e-07 1e-07 9.26169115278e-10 1.82546016839e-21 -3.55073908274e-06 0.0
0.5 0.163265306122 0 0 1e-07 1e-07 1.11865842896e-09 1.58854489811e-21 -3.08991045222e-06 0.0
0.05 0.173469387755 0 0 1e-07 1e-07 1.34237658142e-09 2.64446215261e-21 -5.14379622226e-06 -5.08219768353e-21
0.5 0.173469387755 0 0 1e-07 1e-07 1.62078143715e-09 2.30048909556e-21 -4.47472734954e-06 -8.47032947254e-22
0.05 0.183673469388 0 0 1e-07 1e-07 1.9458886167e-09 3.83057810467e-21 -7.45093408289e-06 0.0
0.5 0.183673469388 0 0 1e-07 1e-07 2.34856819105e-09 3.33120119103e-21 -6.47958606066e-06 5.92923063078e-21
0.05 0.19387755102 0 0 1e-07 1e-07 2.82128635437e-09 5.54799925481e-21 -1.07915243103e-05 -1.01643953671e-20
0.5 0.19387755102 0 0 1e-07 1e-07 3.40373930147e-09 4.82307286431e-21 -9.38145548971e-06 -3.38813178902e-21
0.05 0.204081632653 0 0 1e-07 1e-07 4.09165328927e-09 8.03395285394e-21 -1.56270023747e-05 1.69406589451e-20
0.5 0.204081632653 0 0 1e-07 1e-07 4.93418980864e-09 6.98173767545e-21 -1.35803175869e-05 8.47032947254e-21
0.05 0.214285714286 0 0 1e-07 1e-07 5.93641945485e-09 1.16307579485e-20 -2.26232198993e-05 -6.77626357803e-21
0.5 0.214285714286 0 0 1e-07 1e-07 7.15528175025e-09 1.01037645373e-20 -1.96530344757e-05 -2.37169225231e-20
0.05 0.224489795918 0 0 1e-07 1e-07 8.61778004709e-09 1.68314821614e-20 -3.27392525774e-05 -3.24684669342e-16
0.5 0.224489795918 0 0 1e-07 1e-07 1.03812747894e-08 1.46160493492e-20 -2.84299699069e-05 -5.08219768353e-20
0.05 0.234693877551 0 0 1e-07 1e-07 1.25200549503e-08 2.43444619422e-20 -4.73528997986e-05 -6.09863722023e-20
0.5 0.234693877551 0 0 1e-07 1e-07 1.50719821166e-08 2.11313779064e-20 -4.1103065784e-05 0.0
0.05 0.244897959184 0 0 1e-07 1e-07 1.82086892335e-08 3.51834256623e-20 -6.84359848811e-05 -2.40232096368e-16
0.5 0.244897959184 0 0 1e-07 1e-07 2.19024125476e-08 3.05258208154e-20 -5.93763845561e-05 -6.77626357803e-20
0.05 0.255102040816 0 0 1e-07 1e-07 2.65190429988e-08 5.0791200393e-20 -9.87949795777e-05 8.13151629364e-20
0.5 0.255102040816 0 0 1e-07 1e-07 3.18671104489e-08 4.40444973963e-20 -8.56718326904e-05 -9.48676900925e-20
0.05 0.265306122449 0 0 1e-07 1e-07 3.86897289488e-08 7.32050432038e-20 -0.000142392593245 0.0
0.5 0.265306122449 0 0 1e-07 1e-07 4.64362534035e-08 6.34418580227e-20 -0.000123402026623 -8.13151629364e-20
0.05 0.275510204082 0 0 1e-07 1e-07 5.65599941564e-08 1.05268528445e-19 -0.000204759918885 -1.08420217249e-19
0.5 0.275510204082 0 0 1e-07 1e-07 6.7786385202e-08 9.115897167e-20 -0.000177315138219 -2.16840434497e-19
0.05 0.285714285714 0 0 1e-07 1e-07 8.28515328397e-08 1.50885084912e-19 -0.000293489592938 1.62630325873e-19
0.5 0.285714285714 0 0 1e-07 1e-07 9.91311458356e-08 1.30529709097e-19 -0.00025389594554 -3.90312782095e-18
0.05 0.295918367347 0 0 1e-07 1e-07 1.21542381822e-07 2.15286766338e-19 -0.000418758584989 1.12757025938e-17
0.5 0.295918367347 0 0 1e-07 1e-07 1.45167094479e-07 1.85984952138e-19 -0.000361763043688 1.08420217249e-19
0.05 0.30612244898 0 0 1e-07 1e-07 1.78297467196e-07 3.05255388183e-19 -0.000593758332294 5.2366964931e-17
0.5 0.30612244898 0 0 1e-07 1e-07 2.12610814534e-07 2.63185268604e-19 -0.000511926911486 -1.615461237e-17
0.05 0.316326530612 0 0 1e-07 1e-07 2.60832230871e-07 4.29189380825e-19 -0.000834824769584 2.97071395261e-17
0.5 0.316326530612 0 0 1e-07 1e-07 3.10722768049e-07 3.68965317807e-19 -0.000717681768878 5.42101086243e-18
0.05 0.326530612245 0 0 1e-07 1e-07 3.78969021012e-07 5.96890764826e-19 -0.00116102395239 7.17741838185e-17
0.5 0.326530612245 0 0 1e-07 1e-07 4.51608431661e-07 5.10951895524e-19 -0.000993862617985 -1.62630325873e-17
0.05 0.336734693878 0 0 1e-07 1e-07 5.44084364724e-07 8.19006930376e-19 -0.00159306621252 -5.94142790522e-17
0.5 0.336734693878 0 0 1e-07 1e-07 6.50037676692e-07 6.96783701985e-19 -0.00135532757702 -1.53956708493e-17
0.05 0.34693877551 0 0 1e-07 1e-07 7.6776885365e-07 1.10622351009e-18 -0.00215173612386 3.98986399475e-17
