Vd Vg Vs Vb Idnorm  
0.7 0.629292929293 0 0 0.000804991276502
0.05 0.636363636364 0 0 0.000202862261817
0.7 0.636363636364 0 0 0.000829942937917
0.05 0.643434343434 0 0 0.000205110347341
0.7 0.643434343434 0 0 0.000855103114511
0.05 0.650505050505 0 0 0.000207296339689
0.7 0.650505050505 0 0 0.000880457828794
0.05 0.657575757576 0 0 0.000209421705244
0.7 0.657575757576 0 0 0.000905993158676
0.05 0.664646464646 0 0 0.000211487932756
0.7 0.664646464646 0 0 0.000931695266591
0.05 0.671717171717 0 0 0.000213496525042
0.7 0.671717171717 0 0 0.000957550426597
0.05 0.678787878788 0 0 0.00021544899156
0.7 0.678787878788 0 0 0.000983545049487
0.05 0.685858585859 0 0 0.000217346841827
0.7 0.685858585859 0 0 0.00100966570594
0.05 0.692929292929 0 0 0.000219191579615
0.7 0.692929292929 0 0 0.0010358991478
0.05 0.7 0 0 0.000220984697874
0.7 0.7 0 0 0.00106223232748
