VD VG VS VB Ids  
-0.05 -1.75757575758 0 0 -0.00078729301749
-0.2 -1.75757575758 0 0 -0.00312131420198
-0.3 -1.75757575758 0 0 -0.00463325585417
-0.5 -1.75757575758 0 0 -0.0072606740551
-0.7 -1.75757575758 0 0 -0.00893436753401
-0.95 -1.75757575758 0 0 -0.0102402959989
-0.05 -1.73737373737 0 0 -0.000785931327592
-0.2 -1.73737373737 0 0 -0.00311453111883
-0.3 -1.73737373737 0 0 -0.00462011750213
-0.5 -1.73737373737 0 0 -0.00721194486899
-0.7 -1.73737373737 0 0 -0.0088389386017
-0.95 -1.73737373737 0 0 -0.0101051257075
-0.05 -1.71717171717 0 0 -0.000784512158224
-0.2 -1.71717171717 0 0 -0.00310742327139
-0.3 -1.71717171717 0 0 -0.00460623784053
-0.5 -1.71717171717 0 0 -0.0071605194098
-0.7 -1.71717171717 0 0 -0.00874032531133
-0.95 -1.71717171717 0 0 -0.00996663267955
-0.05 -1.69696969697 0 0 -0.000783031996169
-0.2 -1.69696969697 0 0 -0.00309996767614
-0.3 -1.69696969697 0 0 -0.00459155555253
-0.5 -1.69696969697 0 0 -0.00710626157511
-0.7 -1.69696969697 0 0 -0.00863843686407
-0.95 -1.69696969697 0 0 -0.00982473987448
-0.05 -1.67676767677 0 0 -0.000781487047953
-0.2 -1.67676767677 0 0 -0.00309213918306
-0.3 -1.67676767677 0 0 -0.00457600292011
-0.5 -1.67676767677 0 0 -0.00704903219544
-0.7 -1.67676767677 0 0 -0.0085331810403
-0.95 -1.67676767677 0 0 -0.00967937099639
-0.05 -1.65656565657 0 0 -0.000779873212322
-0.2 -1.65656565657 0 0 -0.0030839102204
-0.3 -1.65656565657 0 0 -0.00455950507999
-0.5 -1.65656565657 0 0 -0.00698868939011
-0.7 -1.65656565657 0 0 -0.00842446441796
-0.95 -1.65656565657 0 0 -0.00953045106362
-0.05 -1.63636363636 0 0 -0.00077818604953
-0.2 -1.63636363636 0 0 -0.00307525050367
-0.3 -1.63636363636 0 0 -0.0045419791983
-0.5 -1.63636363636 0 0 -0.00692508896209
-0.7 -1.63636363636 0 0 -0.00831219264714
-0.95 -1.63636363636 0 0 -0.00937790706205
-0.05 -1.61616161616 0 0 -0.000776420747001
-0.2 -1.61616161616 0 0 -0.00306612670326
-0.3 -1.61616161616 0 0 -0.00452333356007
-0.5 -1.61616161616 0 0 -0.00685808483323
-0.7 -1.61616161616 0 0 -0.00819627079055
-0.95 -1.61616161616 0 0 -0.0092216686331
-0.05 -1.59595959596 0 0 -0.000774572080867
-0.2 -1.59595959596 0 0 -0.00305650206394
-0.3 -1.59595959596 0 0 -0.00450346657122
-0.5 -1.59595959596 0 0 -0.00678752952263
-0.7 -1.59595959596 0 0 -0.00807660374062
-0.95 -1.59595959596 0 0 -0.00906166869123
-0.05 -1.57575757576 0 0 -0.000772634372823
-0.2 -1.57575757576 0 0 -0.00304633596851
-0.3 -1.57575757576 0 0 -0.00448226567384
-0.5 -1.57575757576 0 0 -0.00671327467253
-0.7 -1.57575757576 0 0 -0.00795309672593
-0.95 -1.57575757576 0 0 -0.0088978438941
-0.05 -1.55555555556 0 0 -0.000770601441648
-0.2 -1.55555555556 0 0 -0.00303558343669
-0.3 -1.55555555556 0 0 -0.00445960617961
-0.5 -1.55555555556 0 0 -0.00663517162793
-0.7 -1.55555555556 0 0 -0.00782565592171
-0.95 -1.55555555556 0 0 -0.00873013514926
-0.05 -1.53535353535 0 0 -0.000768466548627
-0.2 -1.53535353535 0 0 -0.00302419454851
-0.3 -1.53535353535 0 0 -0.00443535003257
-0.5 -1.53535353535 0 0 -0.00655307207846
-0.7 -1.53535353535 0 0 -0.00769418918184
-0.95 -1.53535353535 0 0 -0.00855848867615
-0.05 -1.51515151515 0 0 -0.000766222336001
-0.2 -1.51515151515 0 0 -0.00301211378018
-0.3 -1.51515151515 0 0 -0.00440934452007
-0.5 -1.51515151515 0 0 -0.00646682877418
-0.7 -1.51515151515 0 0 -0.00755860691314
-0.95 -1.51515151515 0 0 -0.00838285799859
-0.05 -1.49494949495 0 0 -0.000763860757437
-0.2 -1.49494949495 0 0 -0.00299927923839
-0.3 -1.49494949495 0 0 -0.00438142096156
-0.5 -1.49494949495 0 0 -0.00637629632958
-0.7 -1.49494949495 0 0 -0.00741882311659
-0.95 -1.49494949495 0 0 -0.00820320668738
-0.05 -1.47474747475 0 0 -0.000761372999329
-0.2 -1.47474747475 0 0 -0.00298562177698
-0.3 -1.47474747475 0 0 -0.00435139341811
-0.5 -1.47474747475 0 0 -0.00628133213376
-0.7 -1.47474747475 0 0 -0.00727475662589
-0.95 -1.47474747475 0 0 -0.00801951161531
-0.05 -1.45454545455 0 0 -0.00075874939157
-0.2 -1.45454545455 0 0 -0.0029710639781
-0.3 -1.45454545455 0 0 -0.00431905748228
-0.5 -1.45454545455 0 0 -0.00618179738862
-0.7 -1.45454545455 0 0 -0.00712633257995
-0.95 -1.45454545455 0 0 -0.00783176686235
-0.05 -1.43434343434 0 0 -0.000755979306191
-0.2 -1.43434343434 0 0 -0.00295551897783
-0.3 -1.43434343434 0 0 -0.00428418922694
-0.5 -1.43434343434 0 0 -0.00607755830033
-0.7 -1.43434343434 0 0 -0.00697348417282
-0.95 -1.43434343434 0 0 -0.00763998824201
-0.05 -1.41414141414 0 0 -0.000753051042008
-0.2 -1.41414141414 0 0 -0.00293888911492
-0.3 -1.41414141414 0 0 -0.00424654441459
-0.5 -1.41414141414 0 0 -0.00596848745389
-0.7 -1.41414141414 0 0 -0.00681615472629
-0.95 -1.41414141414 0 0 -0.00744421769052
-0.05 -1.39393939394 0 0 -0.000749951693116
-0.2 -1.39393939394 0 0 -0.0029210643806
-0.3 -1.39393939394 0 0 -0.00420585809186
-0.5 -1.39393939394 0 0 -0.00585446540456
-0.7 -1.39393939394 0 0 -0.00665430011184
-0.95 -1.39393939394 0 0 -0.00724452540477
-0.05 -1.37373737374 0 0 -0.000746666998691
-0.2 -1.37373737374 0 0 -0.00290192064814
-0.3 -1.37373737374 0 0 -0.00416184471854
-0.5 -1.37373737374 0 0 -0.00573538252444
-0.7 -1.37373737374 0 0 -0.00648789148224
-0.95 -1.37373737374 0 0 -0.00704100553398
-0.05 -1.35353535354 0 0 -0.000743181171145
-0.2 -1.35353535354 0 0 -0.00288131766454
-0.3 -1.35353535354 0 0 -0.00411419900164
-0.5 -1.35353535354 0 0 -0.00561114114708
-0.7 -1.35353535354 0 0 -0.00631691816363
-0.95 -1.35353535354 0 0 -0.0068337644263
-0.05 -1.33333333333 0 0 -0.000739476699197
-0.2 -1.33333333333 0 0 -0.00285909679402
-0.3 -1.33333333333 0 0 -0.00406259762112
-0.5 -1.33333333333 0 0 -0.00548165805826
-0.7 -1.33333333333 0 0 -0.0061413905717
-0.95 -1.33333333333 0 0 -0.0066229136251
-0.05 -1.31313131313 0 0 -0.000735534121825
-0.2 -1.31313131313 0 0 -0.00283507851718
-0.3 -1.31313131313 0 0 -0.00400670204001
-0.5 -1.31313131313 0 0 -0.00534686738686
-0.7 -1.31313131313 0 0 -0.00596134348984
-0.95 -1.31313131313 0 0 -0.00640858019901
-0.05 -1.29292929293 0 0 -0.000731331768449
-0.2 -1.29292929293 0 0 -0.00280905971302
-0.3 -1.29292929293 0 0 -0.0039461625839
-0.5 -1.29292929293 0 0 -0.00520672395766
-0.7 -1.29292929293 0 0 -0.00577684085369
-0.95 -1.29292929293 0 0 -0.00619092469178
-0.05 -1.27272727273 0 0 -0.000726845459902
-0.2 -1.27272727273 0 0 -0.00278081078781
-0.3 -1.27272727273 0 0 -0.00388062394905
-0.5 -1.27272727273 0 0 -0.00506120717761
-0.7 -1.27272727273 0 0 -0.0055879831741
-0.95 -1.27272727273 0 0 -0.00597015474274
-0.05 -1.25252525253 0 0 -0.000722048163952
-0.2 -1.25252525253 0 0 -0.00275007277056
-0.3 -1.25252525253 0 0 -0.00380973225309
-0.5 -1.25252525253 0 0 -0.00491032554092
-0.7 -1.25252525253 0 0 -0.0053949173761
-0.95 -1.25252525253 0 0 -0.00574653047345
-0.05 -1.23232323232 0 0 -0.000716909598198
-0.2 -1.23232323232 0 0 -0.00271655457449
-0.3 -1.23232323232 0 0 -0.00373314367619
-0.5 -1.23232323232 0 0 -0.004754121853
-0.7 -1.23232323232 0 0 -0.00519784712333
-0.95 -1.23232323232 0 0 -0.00552035424095
-0.05 -1.21212121212 0 0 -0.000711395772214
-0.2 -1.21212121212 0 0 -0.00267993073404
-0.3 -1.21212121212 0 0 -0.00365053465858
-0.5 -1.21212121212 0 0 -0.00459267927906
-0.7 -1.21212121212 0 0 -0.00499703855019
-0.95 -1.21212121212 0 0 -0.00529195444996
-0.05 -1.19191919192 0 0 -0.000705468459856
-0.2 -1.19191919192 0 0 -0.00263984007091
-0.3 -1.19191919192 0 0 -0.00356161352801
-0.5 -1.19191919192 0 0 -0.00442612828593
-0.7 -1.19191919192 0 0 -0.00479281148342
-0.95 -1.19191919192 0 0 -0.00506168015021
-0.05 -1.17171717172 0 0 -0.000699084591833
-0.2 -1.17171717172 0 0 -0.00259588591865
-0.3 -1.17171717172 0 0 -0.00346613333912
-0.5 -1.17171717172 0 0 -0.00425465441983
-0.7 -1.17171717172 0 0 -0.00458551402592
-0.95 -1.17171717172 0 0 -0.00482990549369
-0.05 -1.15151515152 0 0 -0.000692195558125
-0.2 -1.15151515152 0 0 -0.00254763873292
-0.3 -1.15151515152 0 0 -0.00336390562622
-0.5 -1.15151515152 0 0 -0.00407850670652
-0.7 -1.15151515152 0 0 -0.00437550733624
-0.95 -1.15151515152 0 0 -0.00459703628484
-0.05 -1.13131313131 0 0 -0.000684746409988
-0.2 -1.13131313131 0 0 -0.0024946421057
-0.3 -1.13131313131 0 0 -0.00325481471395
-0.5 -1.13131313131 0 0 -0.00389800666873
-0.7 -1.13131313131 0 0 -0.00416318579569
-0.95 -1.13131313131 0 0 -0.00436351499153
-0.05 -1.11111111111 0 0 -0.000676674952638
-0.2 -1.11111111111 0 0 -0.00243642333701
-0.3 -1.11111111111 0 0 -0.00313883220348
-0.5 -1.11111111111 0 0 -0.00371355885407
-0.7 -1.11111111111 0 0 -0.00394901077073
-0.95 -1.11111111111 0 0 -0.00412982386883
-0.05 -1.09090909091 0 0 -0.000667910723185
-0.2 -1.09090909091 0 0 -0.00237250972413
-0.3 -1.09090909091 0 0 -0.00301603126044
-0.5 -1.09090909091 0 0 -0.00352566348769
-0.7 -1.09090909091 0 0 -0.00373353473064
-0.95 -1.09090909091 0 0 -0.00389648669427
-0.05 -1.07070707071 0 0 -0.00065837385544
-0.2 -1.07070707071 0 0 -0.00230245151437
-0.3 -1.07070707071 0 0 -0.00288660037532
-0.5 -1.07070707071 0 0 -0.00333492556509
-0.7 -1.07070707071 0 0 -0.00351740728427
-0.95 -1.07070707071 0 0 -0.00366406952661
-0.05 -1.05050505051 0 0 -0.000647973846227
-0.2 -1.05050505051 0 0 -0.00222585194817
-0.3 -1.05050505051 0 0 -0.00275085634349
-0.5 -1.05050505051 0 0 -0.00314204321835
-0.7 -1.05050505051 0 0 -0.00330134889625
-0.95 -1.05050505051 0 0 -0.00343318068142
-0.05 -1.0303030303 0 0 -0.000636608260542
-0.2 -1.0303030303 0 0 -0.00214240395229
-0.3 -1.0303030303 0 0 -0.0026092563122
-0.5 -1.0303030303 0 0 -0.00294776441444
-0.7 -1.0303030303 0 0 -0.00308611490984
-0.95 -1.0303030303 0 0 -0.00320446995457
-0.05 -1.0101010101 0 0 -0.000624161451139
-0.2 -1.0101010101 0 0 -0.00205193188182
-0.3 -1.0101010101 0 0 -0.00246240883093
-0.5 -1.0101010101 0 0 -0.00275284802387
-0.7 -1.0101010101 0 0 -0.00287248164371
-0.95 -1.0101010101 0 0 -0.0029786270219
-0.05 -0.989898989899 0 0 -0.000610503431011
-0.2 -0.989898989899 0 0 -0.00195443543603
-0.3 -0.989898989899 0 0 -0.00231108380341
-0.5 -0.989898989899 0 0 -0.00255808283304
-0.7 -0.989898989899 0 0 -0.00266125010807
-0.95 -0.989898989899 0 0 -0.00275637887324
-0.05 -0.969696969697 0 0 -0.000595489138184
-0.2 -0.969696969697 0 0 -0.00185013179422
-0.3 -0.969696969697 0 0 -0.00215622074596
-0.5 -0.969696969697 0 0 -0.00236433970601
-0.7 -0.969696969697 0 0 -0.00245325182124
-0.95 -0.969696969697 0 0 -0.00253848608406
-0.05 -0.949494949495 0 0 -0.000578958490644
-0.2 -0.949494949495 0 0 -0.00173949148706
-0.3 -0.949494949495 0 0 -0.00199893292039
-0.5 -0.949494949495 0 0 -0.00217260538871
-0.7 -0.949494949495 0 0 -0.00224935001857
-0.95 -0.949494949495 0 0 -0.00232573768081
-0.05 -0.929292929293 0 0 -0.000560737870509
-0.2 -0.929292929293 0 0 -0.00162326378297
-0.3 -0.929292929293 0 0 -0.00184049951363
-0.5 -0.929292929293 0 0 -0.00198398863502
-0.7 -0.929292929293 0 0 -0.00205043566661
-0.95 -0.929292929293 0 0 -0.00211894431721
-0.05 -0.909090909091 0 0 -0.000540644029104
-0.2 -0.909090909091 0 0 -0.00150248833173
-0.3 -0.909090909091 0 0 -0.00168232720541
-0.5 -0.909090909091 0 0 -0.00179967646756
-0.7 -0.909090909091 0 0 -0.00185741911303
-0.95 -0.909090909091 0 0 -0.00191892945351
-0.05 -0.888888888889 0 0 -0.000518491887552
-0.2 -0.888888888889 0 0 -0.00137849060534
-0.3 -0.888888888889 0 0 -0.00152586116561
-0.5 -0.888888888889 0 0 -0.00162085643413
-0.7 -0.888888888889 0 0 -0.00167121797826
-0.95 -0.888888888889 0 0 -0.0017265182275
