VD VG VS VB Ids Qg  
-0.05 -2.0 0 0 -0.00024965049802 -1.63687241279e-13
-0.2 -2.0 0 0 -0.000994251466501 -1.52628160692e-13
-0.3 -2.0 0 0 -0.00148629887385 -1.45309262739e-13
-0.5 -2.0 0 0 -0.00245614336547 -1.30830817515e-13
-0.7 -2.0 0 0 -0.00339585714191 -1.16668091444e-13
-0.95 -2.0 0 0 -0.0044794264832 -1.00006681366e-13
-0.05 -1.9797979798 0 0 -0.000249385793672 -1.6069883205e-13
-0.2 -1.9797979798 0 0 -0.000993032522647 -1.49663101714e-13
-0.3 -1.9797979798 0 0 -0.00148426958976 -1.42361296012e-13
-0.5 -1.9797979798 0 0 -0.00245182075384 -1.27922888398e-13
-0.7 -1.9797979798 0 0 -0.00338745440277 -1.13817709922e-13
-0.95 -1.9797979798 0 0 -0.0044594636675 -9.7312149869e-14
-0.05 -1.9595959596 0 0 -0.000249111696125 -1.57716469844e-13
-0.2 -1.9595959596 0 0 -0.00099176736689 -1.46704674619e-13
-0.3 -1.9595959596 0 0 -0.00148215923034 -1.39420430448e-13
-0.5 -1.9595959596 0 0 -0.00244729967473 -1.25023411134e-13
-0.7 -1.9595959596 0 0 -0.00337858116808 -1.10978858052e-13
-0.95 -1.9595959596 0 0 -0.00443815698345 -9.46413164314e-14
-0.05 -1.93939393939 0 0 -0.000248827720122 -1.54740300662e-13
-0.2 -1.93939393939 0 0 -0.000990453441755 -1.43753050662e-13
-0.3 -1.93939393939 0 0 -0.0014799630392 -1.36486860362e-13
-0.5 -1.93939393939 0 0 -0.00244256642923 -1.22132669559e-13
-0.7 -1.93939393939 0 0 -0.00336919788027 -1.08152133106e-13
-0.95 -1.93939393939 0 0 -0.00441539900343 -9.19958858239e-14
-0.05 -1.91919191919 0 0 -0.000248533347534 -1.51770476495e-13
-0.2 -1.91919191919 0 0 -0.000989088003279 -1.4080840866e-13
-0.3 -1.91919191919 0 0 -0.00147767588914 -1.33560789341e-13
-0.5 -1.91919191919 0 0 -0.00243760603476 -1.19250966161e-13
-0.7 -1.91919191919 0 0 -0.00335926069868 -1.05338193375e-13
-0.95 -1.91919191919 0 0 -0.0043910756452 -8.93776843089e-14
-0.05 -1.89898989899 0 0 -0.000248228024602 -1.48807155669e-13
-0.2 -1.89898989899 0 0 -0.000987668104074 -1.37870935464e-13
-0.3 -1.89898989899 0 0 -0.00147529224582 -1.30642430895e-13
-0.5 -1.89898989899 0 0 -0.00243240207209 -1.16378624069e-13
-0.7 -1.89898989899 0 0 -0.00334872097977 -1.02537766407e-13
-0.95 -1.89898989899 0 0 -0.00436506649787 -8.67886574956e-14
-0.05 -1.87878787879 0 0 -0.000247911158911 -1.45850503217e-13
-0.2 -1.87878787879 0 0 -0.000986190574537 -1.34940826477e-13
-0.3 -1.87878787879 0 0 -0.00147280612696 -1.2773200917e-13
-0.5 -1.87878787879 0 0 -0.00242693651053 -1.1351598934e-13
-0.7 -1.87878787879 0 0 -0.00333752469995 -9.97516583692e-14
-0.95 -1.87878787879 0 0 -0.00433724535854 -8.4230865001e-14
-0.05 -1.85858585859 0 0 -0.000247582116054 -1.42900691282e-13
-0.2 -1.85858585859 0 0 -0.000984652001971 -1.32018286213e-13
-0.3 -1.85858585859 0 0 -0.00147021105668 -1.24829759738e-13
-0.5 -1.85858585859 0 0 -0.00242118950755 -1.1066343359e-13
-0.7 -1.85858585859 0 0 -0.00332561181929 -9.69807646174e-14
-0.95 -1.85858585859 0 0 -0.00430748100811 -8.17064714067e-14
-0.05 -1.83838383838 0 0 -0.000247240215948 -1.39957899543e-13
-0.2 -1.83838383838 0 0 -0.000983048707348 -1.29103528904e-13
-0.3 -1.83838383838 0 0 -0.00146750001408 -1.21935930466e-13
-0.5 -1.83838383838 0 0 -0.00241513917884 -1.0782135705e-13
-0.7 -1.83838383838 0 0 -0.00331291558679 -9.42260815601e-14
-0.95 -1.83838383838 0 0 -0.00427563825031 -7.92177330754e-14
-0.05 -1.81818181818 0 0 -0.00024688472878 -1.37022315682e-13
-0.2 -1.81818181818 0 0 -0.000981376719393 -1.26196779162e-13
-0.3 -1.81818181818 0 0 -0.00146466537536 -1.1905078247e-13
-0.5 -1.81818181818 0 0 -0.00240876133383 -1.04990192098e-13
-0.7 -1.81818181818 0 0 -0.00329936179135 -9.14887198336e-14
-0.95 -1.81818181818 0 0 -0.00424157922932 -7.67669805112e-14
-0.05 -1.79797979798 0 0 -0.000246514870507 -1.34094135886e-13
-0.2 -1.79797979798 0 0 -0.000979631745638 -1.23298272701e-13
-0.3 -1.79797979798 0 0 -0.0014616988484 -1.16174591186e-13
-0.5 -1.79797979798 0 0 -0.00240202917098 -1.02170407396e-13
-0.7 -1.79797979798 0 0 -0.00328486796752 -8.87699187576e-14
-0.95 -1.79797979798 0 0 -0.004205165031 -7.43565961224e-14
-0.05 -1.77777777778 0 0 -0.000246129797886 -1.31173565387e-13
-0.2 -1.77777777778 0 0 -0.000977809140011 -1.20408257122e-13
-0.3 -1.77777777778 0 0 -0.00145859139865 -1.13307647551e-13
-0.5 -1.77777777778 0 0 -0.00239491292634 -9.93625127038e-14
-0.7 -1.77777777778 0 0 -0.00326934257189 -8.6071061939e-14
-0.95 -1.77777777778 0 0 -0.00416625755864 -7.19889874648e-14
-0.05 -1.75757575758 0 0 -0.000245728602955 -1.28260819052e-13
-0.2 -1.75757575758 0 0 -0.000975903866494 -1.17526992778e-13
-0.3 -1.75757575758 0 0 -0.00145533316507 -1.10450259327e-13
-0.5 -1.75757575758 0 0 -0.00238737946763 -9.65670645444e-14
-0.7 -1.75757575758 0 0 -0.00325268415524 -8.33936937541e-14
-0.95 -1.75757575758 0 0 -0.00412472165891 -6.96665562959e-14
-0.05 -1.73737373737 0 0 -0.000245310306909 -1.25356122013e-13
-0.2 -1.73737373737 0 0 -0.000973910458268 -1.1465475372e-13
-0.3 -1.73737373737 0 0 -0.00145191336437 -1.07602752583e-13
-0.5 -1.73737373737 0 0 -0.00237939182542 -9.37846728454e-14
-0.7 -1.73737373737 0 0 -0.00323478056716 -8.07395362556e-14
-0.95 -1.73737373737 0 0 -0.00408042745738 -6.73916640362e-14
-0.05 -1.71717171717 0 0 -0.000244873853279 -1.22459710362e-13
-0.2 -1.71717171717 0 0 -0.000971822971698 -1.11791828734e-13
-0.3 -1.71717171717 0 0 -0.00144832018171 -1.04765473364e-13
-0.5 -1.71717171717 0 0 -0.00237090865131 -9.10160087672e-14
