VD VG VS VB Ids Qg  
-0.05 -2.0 0 0 -0.000800136812797 -6.69467946145e-14
-0.2 -2.0 0 0 -0.00318358881596 -6.26773239708e-14
-0.3 -2.0 0 0 -0.00474910205753 -5.98609429789e-14
-0.5 -2.0 0 0 -0.00767938322116 -5.45141755681e-14
-0.7 -2.0 0 0 -0.00986177106705 -5.05381246876e-14
-0.95 -2.0 0 0 -0.0116306704075 -4.74698959748e-14
-0.05 -1.9797979798 0 0 -0.000799265448353 -6.57506617955e-14
-0.2 -1.9797979798 0 0 -0.00317945798671 -6.14902071422e-14
-0.3 -1.9797979798 0 0 -0.00474167531558 -5.86811049879e-14
-0.5 -1.9797979798 0 0 -0.00765383075476 -5.33678899837e-14
-0.7 -1.9797979798 0 0 -0.00979812439913 -4.94667648984e-14
-0.95 -1.9797979798 0 0 -0.0115295517883 -4.64714220821e-14
-0.05 -1.9595959596 0 0 -0.000798363862962 -6.45569062127e-14
-0.2 -1.9595959596 0 0 -0.00317516989667 -6.03056979087e-14
-0.3 -1.9595959596 0 0 -0.00473392858176 -5.7504122582e-14
-0.5 -1.9595959596 0 0 -0.00762689773648 -5.22263547834e-14
-0.7 -1.9595959596 0 0 -0.0097322410688 -4.84017940935e-14
-0.95 -1.9595959596 0 0 -0.0114259805877 -4.54795811988e-14
-0.05 -1.93939393939 0 0 -0.000797430531439 -6.33655841605e-14
-0.2 -1.93939393939 0 0 -0.00317071571655 -5.91238630295e-14
-0.3 -1.93939393939 0 0 -0.00472584116959 -5.63300790418e-14
-0.5 -1.93939393939 0 0 -0.00759849907106 -5.10897763808e-14
-0.7 -1.93939393939 0 0 -0.00966405239446 -4.73433784774e-14
-0.95 -1.93939393939 0 0 -0.0113198916882 -4.44945291987e-14
-0.05 -1.91919191919 0 0 -0.000796463827705 -6.21767541947e-14
-0.2 -1.91919191919 0 0 -0.00316608595723 -5.79447722324e-14
-0.3 -1.91919191919 0 0 -0.00471739061107 -5.51590622566e-14
-0.5 -1.91919191919 0 0 -0.00756854517609 -4.99583714577e-14
-0.7 -1.91919191919 0 0 -0.00959348790605 -4.62916886353e-14
-0.95 -1.91919191919 0 0 -0.0112112183601 -4.35164263423e-14
-0.05 -1.89898989899 0 0 -0.000795462016537 -6.09904772596e-14
-0.2 -1.89898989899 0 0 -0.00316127040774 -5.67684984077e-14
-0.3 -1.89898989899 0 0 -0.00470855246821 -5.39911651229e-14
-0.5 -1.89898989899 0 0 -0.007536941923 -4.8832367137e-14
-0.7 -1.89898989899 0 0 -0.00952047530123 -4.52468997044e-14
-0.95 -1.89898989899 0 0 -0.0110998922952 -4.25454373324e-14
-0.05 -1.87878787879 0 0 -0.000794423244506 -5.98068168255e-14
-0.2 -1.87878787879 0 0 -0.00315625806634 -5.55951178177e-14
-0.3 -1.87878787879 0 0 -0.00469930012163 -5.28264859898e-14
-0.5 -1.87878787879 0 0 -0.00750359060368 -4.77120011044e-14
-0.7 -1.87878787879 0 0 -0.00944494040651 -4.42091915477e-14
-0.95 -1.87878787879 0 0 -0.0109858436566 -4.15817313564e-14
-0.05 -1.85858585859 0 0 -0.000793345530033 -5.86258390356e-14
-0.2 -1.85858585859 0 0 -0.00315103706352 -5.44247103267e-14
-0.3 -1.85858585859 0 0 -0.00468960453338 -5.16651291559e-14
-0.5 -1.85858585859 0 0 -0.00746838792537 -4.6597521676e-14
-0.7 -1.85858585859 0 0 -0.00936680714514 -4.31787489274e-14
-0.95 -1.85858585859 0 0 -0.0108690011447 -4.06254821095e-14
-0.05 -1.83838383838 0 0 -0.000792226752438 -5.74476128645e-14
-0.2 -1.83838383838 0 0 -0.00314559457605 -5.32573596511e-14
-0.3 -1.83838383838 0 0 -0.00467943398051 -5.05072054265e-14
-0.5 -1.83838383838 0 0 -0.00743122603652 -4.54891878064e-14
-0.7 -1.83838383838 0 0 -0.00928599751385 -4.21557616761e-14
-0.95 -1.83838383838 0 0 -0.0107492920862 -3.96768677973e-14
-0.05 -1.81818181818 0 0 -0.000791064639885 -5.62722102883e-14
-0.2 -1.81818181818 0 0 -0.0031399167307 -5.2093153634e-14
-0.3 -1.81818181818 0 0 -0.00466875375578 -4.93528327393e-14
-0.5 -1.81818181818 0 0 -0.00739199258543 -4.43872690348e-14
-0.7 -1.81818181818 0 0 -0.0092024315707 -4.11404248636e-14
-0.95 -1.81818181818 0 0 -0.0106266425458 -3.873607111e-14
-0.05 -1.79797979798 0 0 -0.000789856756077 -5.50997064684e-14
-0.2 -1.79797979798 0 0 -0.00313398849626 -5.09321845462e-14
-0.3 -1.79797979798 0 0 -0.00465752583134 -4.82021368664e-14
