Vd Vg Vs Vb Id Lg Ig  
-0.05 -0.634 0.0 0.0 -0.00024564 70e-9 -1.463E-011 
-0.05 -0.648 0.0 0.0 -0.00026054 70e-9 -1.13E-011 
-0.05 -0.662 0.0 0.0 -0.0002741 70e-9 -7.58E-012 
-0.05 -0.676 0.0 0.0 -0.00028648 70e-9 -3.62E-012 
-0.05 -0.69 0.0 0.0 -0.00029792 70e-9 -2.43E-012 
-0.05 -0.704 0.0 0.0 -0.0003079 70e-9 -1.48E-012 
-0.05 -0.718 0.0 0.0 -0.00031698 70e-9 -3.43E-012 
-0.05 -0.732 0.0 0.0 -0.00032468 70e-9 -8.56E-012 
-0.05 -0.746 0.0 0.0 -0.00033216 70e-9 -1.775E-011 
-0.05 -0.76 0.0 0.0 -0.0003404 70e-9 -2.366E-011 
-0.05 -0.774 0.0 0.0 -0.00034784 70e-9 -2.561E-011 
-0.05 -0.788 0.0 0.0 -0.00035528 70e-9 -2.485E-011 
-0.05 -0.802 0.0 0.0 -0.00036228 70e-9 -2.211E-011 
-0.05 -0.816 0.0 0.0 -0.00036916 70e-9 -1.882E-011 
-0.05 -0.83 0.0 0.0 -0.0003754 70e-9 -1.793E-011 
-0.05 -0.844 0.0 0.0 -0.00038074 70e-9 -1.697E-011 
-0.05 -0.858 0.0 0.0 -0.00038594 70e-9 -1.885E-011 
-0.05 -0.872 0.0 0.0 -0.0003903 70e-9 -2.139E-011 
-0.05 -0.886 0.0 0.0 -0.00039574 70e-9 -2.812E-011 
-0.05 -0.9 0.0 0.0 -0.00039992 70e-9 -3.649E-011 
-0.05 -0.9 0.0 0.0 -0.00040024 70e-9 -3.081E-011 
-0.05 -0.886 0.0 0.0 -0.00039618 70e-9 -2.408E-011 
-0.05 -0.872 0.0 0.0 -0.00039096 70e-9 -2.093E-011 
-0.05 -0.858 0.0 0.0 -0.0003859 70e-9 -1.77E-011 
-0.05 -0.844 0.0 0.0 -0.00037956 70e-9 -1.828E-011 
-0.05 -0.83 0.0 0.0 -0.00037394 70e-9 -2.162E-011 
-0.05 -0.816 0.0 0.0 -0.00036732 70e-9 -2.602E-011 
-0.05 -0.802 0.0 0.0 -0.00036156 70e-9 -2.704E-011 
-0.05 -0.788 0.0 0.0 -0.00035392 70e-9 -2.691E-011 
-0.05 -0.774 0.0 0.0 -0.0003468 70e-9 -2.415E-011 
-0.05 -0.76 0.0 0.0 -0.00033956 70e-9 -2.059E-011 
-0.05 -0.746 0.0 0.0 -0.00033248 70e-9 -1.568E-011 
-0.05 -0.732 0.0 0.0 -0.0003246 70e-9 -9.32E-012 
-0.05 -0.718 0.0 0.0 -0.00031572 70e-9 -5.35E-012 
-0.05 -0.704 0.0 0.0 -0.00030622 70e-9 -7.9E-013 
