Vd Vg Vs Vb Lg Ids mu  
0.0 0.1 0 0 1e-07 0.0 0.0190229627883
0.010101010101 0.1 0 0 1e-07 2.01406803619e-12 0.0189074742308
0.020202020202 0.1 0 0 1e-07 3.29475686725e-12 0.018830384353
0.030303030303 0.1 0 0 1e-07 4.10002960491e-12 0.0187802310532
0.040404040404 0.1 0 0 1e-07 4.60938422381e-12 0.0187477646724
0.0505050505051 0.1 0 0 1e-07 4.93751031491e-12 0.0187265221081
0.0606060606061 0.1 0 0 1e-07 5.15437472111e-12 0.0187123344653
0.0707070707071 0.1 0 0 1e-07 5.30189475618e-12 0.0187026138069
0.0808080808081 0.1 0 0 1e-07 5.40521287769e-12 0.0186957714096
0.0909090909091 0.1 0 0 1e-07 5.4796137613e-12 0.0186908262685
0.10101010101 0.1 0 0 1e-07 5.53458133193e-12 0.0186871630787
0.111111111111 0.1 0 0 1e-07 5.57614235137e-12 0.0186843878137
0.121212121212 0.1 0 0 1e-07 5.60822339159e-12 0.0186822423043
0.131313131313 0.1 0 0 1e-07 5.63344647983e-12 0.0186805534253
0.141414141414 0.1 0 0 1e-07 5.65360418446e-12 0.0186792024321
0.151515151515 0.1 0 0 1e-07 5.66994930745e-12 0.0186781061243
0.161616161616 0.1 0 0 1e-07 5.68337545763e-12 0.0186772050369
0.171717171717 0.1 0 0 1e-07 5.6945321027e-12 0.0186764558786
0.181818181818 0.1 0 0 1e-07 5.70389945264e-12 0.0186758265979
0.191919191919 0.1 0 0 1e-07 5.71183819627e-12 0.0186752930937
0.20202020202 0.1 0 0 1e-07 5.71862317356e-12 0.0186748369843
0.212121212121 0.1 0 0 1e-07 5.72446658387e-12 0.0186744440651
0.222222222222 0.1 0 0 1e-07 5.72953425286e-12 0.0186741032293
0.232323232323 0.1 0 0 1e-07 5.73395721063e-12 0.0186738056951
0.242424242424 0.1 0 0 1e-07 5.73784005478e-12 0.0186735444489
0.252525252525 0.1 0 0 1e-07 5.74126707147e-12 0.0186733138364
0.262626262626 0.1 0 0 1e-07 5.74430677241e-12 0.0186731092585
0.272727272727 0.1 0 0 1e-07 5.74701529795e-12 0.0186729269475
0.282828282828 0.1 0 0 1e-07 5.7494389956e-12 0.0186727637911
0.292929292929 0.1 0 0 1e-07 5.75161639526e-12 0.0186726171998
0.30303030303 0.1 0 0 1e-07 5.75357973643e-12 0.0186724850083
0.313131313131 0.1 0 0 1e-07 5.75535615884e-12 0.018672365393
0.323232323232 0.1 0 0 1e-07 5.75696863882e-12 0.0186722568085
0.333333333333 0.1 0 0 1e-07 5.75843673217e-12 0.0186721579406
0.343434343434 0.1 0 0 1e-07 5.75977716595e-12 0.0186720676642
0.353535353535 0.1 0 0 1e-07 5.76100431563e-12 0.0186719850131
0.363636363636 0.1 0 0 1e-07 5.76213059023e-12 0.0186719091524
0.373737373737 0.1 0 0 1e-07 5.76316674631e-12 0.018671839359
0.383838383838 0.1 0 0 1e-07 5.76412214447e-12 0.0186717750018
0.393939393939 0.1 0 0 1e-07 5.76500496181e-12 0.0186717155316
0.40404040404 0.1 0 0 1e-07 5.76582236648e-12 0.0186716604663
0.414141414141 0.1 0 0 1e-07 5.76658066328e-12 0.0186716093804
0.424242424242 0.1 0 0 1e-07 5.76728541571e-12 0.0186715619006
0.434343434343 0.1 0 0 1e-07 5.76794154806e-12 0.0186715176956
0.444444444444 0.1 0 0 1e-07 5.76855343124e-12 0.0186714764704
0.454545454545 0.1 0 0 1e-07 5.769124956e-12 0.0186714379631
0.464646464646 0.1 0 0 1e-07 5.76965959478e-12 0.0186714019399
0.474747474747 0.1 0 0 1e-07 5.77016045469e-12 0.0186713681927
0.484848484848 0.1 0 0 1e-07 5.77063032213e-12 0.0186713365326
0.494949494949 0.1 0 0 1e-07 5.77107170227e-12 0.0186713067914
0.505050505051 0.1 0 0 1e-07 5.77148685226e-12 0.0186712788174
0.515151515152 0.1 0 0 1e-07 5.77187780997e-12 0.0186712524731
0.525252525253 0.1 0 0 1e-07 5.77224641911e-12 0.0186712276338
0.535353535354 0.1 0 0 1e-07 5.77259435121e-12 0.0186712041877
0.545454545455 0.1 0 0 1e-07 5.77292312434e-12 0.0186711820325
0.555555555556 0.1 0 0 1e-07 5.77323411972e-12 0.0186711610752
0.565656565657 0.1 0 0 1e-07 5.77352859638e-12 0.018671141231
0.575757575758 0.1 0 0 1e-07 5.77380770387e-12 0.0186711224219
0.585858585859 0.1 0 0 1e-07 5.77407249326e-12 0.0186711045772
0.59595959596 0.1 0 0 1e-07 5.77432392752e-12 0.0186710876325
0.606060606061 0.1 0 0 1e-07 5.77456289009e-12 0.0186710715286
0.616161616162 0.1 0 0 1e-07 5.77479019209e-12 0.0186710562099
0.626262626263 0.1 0 0 1e-07 5.77500658022e-12 0.0186710416266
0.636363636364 0.1 0 0 1e-07 5.77521274215e-12 0.0186710277327
0.646464646465 0.1 0 0 1e-07 5.77540931221e-12 0.0186710144846
0.656565656566 0.1 0 0 1e-07 5.7755968765e-12 0.0186710018439
0.666666666667 0.1 0 0 1e-07 5.77577597675e-12 0.0186709897733
0.676767676768 0.1 0 0 1e-07 5.77594711464e-12 0.018670978239
0.686868686869 0.1 0 0 1e-07 5.77611075541e-12 0.0186709672103
0.69696969697 0.1 0 0 1e-07 5.77626733062e-12 0.0186709566574
0.707070707071 0.1 0 0 1e-07 5.77641724127e-12 0.0186709465542
0.717171717172 0.1 0 0 1e-07 5.77656086027e-12 0.0186709368745
0.727272727273 0.1 0 0 1e-07 5.77669853491e-12 0.0186709275956
0.737373737374 0.1 0 0 1e-07 5.77683058865e-12 0.0186709186948
0.747474747475 0.1 0 0 1e-07 5.77695732352e-12 0.018670910153
0.757575757576 0.1 0 0 1e-07 5.77707902146e-12 0.0186709019511
0.767676767677 0.1 0 0 1e-07 5.77719594571e-12 0.0186708940703
0.777777777778 0.1 0 0 1e-07 5.77730834275e-12 0.0186708864947
