Vg Id Ig
-0.102 -5.0849E-009 -9.41E-012
-0.088 -3.2182E-009 -1.042E-011
-0.074 -0.000000002 -1.009E-011
-0.06 -1.2791E-009 -1.021E-011
-0.046 -7.9502E-010 -3.92E-012
-0.032 -5.044E-010 -2.51E-012
-0.018 -3.227E-010 -4.58E-012
-0.004 -2.1003E-010 -3.48E-012
0.01 -1.3726E-010 -4.59E-012
0.024 -9.194E-011 -4.85E-012
0.038 -6.345E-011 -4.92E-012
0.052 -4.659E-011 -6.24E-012
0.066 -3.46E-011 -5.57E-012
0.08 -2.764E-011 -7.05E-012
0.094 -2.292E-011 -6.46E-012
0.108 -1.98E-011 -7.15E-012
0.122 -1.816E-011 -8.21E-012
0.136 -1.652E-011 -7.73E-012
0.15 -1.524E-011 -7.4E-012
0.164 -1.426E-011 -7.66E-012
0.178 -1.461E-011 -7.27E-012
0.192 -1.442E-011 -5.3E-012
0.206 -1.438E-011 -5.5E-012
0.22 -1.49E-011 -6.4E-012
0.234 -1.392E-011 -6.36E-012
0.248 -1.388E-011 -7.06E-012
0.262 -1.468E-011 -3.51E-012
0.276 -1.444E-011 -3.98E-012
0.29 -1.52E-011 -4.72E-012
0.304 -1.568E-011 -4.69E-012
0.318 -1.551E-011 -6.36E-012
0.332 -1.534E-011 -5.55E-012
0.346 -1.54E-011 -6.35E-012
0.36 -1.607E-011 -3.72E-012
0.374 -1.654E-011 -3.14E-012
0.388 -1.669E-011 -4.73E-012
0.402 -1.649E-011 -3.81E-012
0.416 -1.581E-011 -4.53E-012
0.43 -1.613E-011 -4.52E-012
0.444 -1.597E-011 -4.78E-012
0.458 -1.601E-011 -4.33E-012
0.472 -1.542E-011 -4.9E-012
0.486 -1.428E-011 -4.05E-012
0.5 -1.252E-011 -4.42E-012
