Vg Id Ig
0.5 -1.0367E-010 5.735E-011
0.486 -5.728E-011 5.409E-011
0.472 -5.359E-011 5.189E-011
0.458 -5.112E-011 4.766E-011
0.444 -4.747E-011 4.318E-011
0.43 -4.624E-011 4.035E-011
0.416 -5.53E-011 3.496E-011
0.402 -6.095E-011 2.893E-011
0.388 -5.793E-011 2.558E-011
0.374 -5.663E-011 2.303E-011
0.36 -5.336E-011 2.068E-011
0.346 -5.164E-011 1.869E-011
0.332 -4.984E-011 1.626E-011
0.318 -4.782E-011 1.516E-011
0.304 -4.587E-011 1.365E-011
0.29 -4.408E-011 1.136E-011
0.276 -4.488E-011 9.19E-012
0.262 -4.356E-011 7.11E-012
0.248 -4.358E-011 5.5E-012
0.234 -4.357E-011 4.37E-012
0.22 -4.377E-011 2.17E-012
0.206 -4.192E-011 1.21E-012
0.192 -4.165E-011 1E-014
0.178 -4.224E-011 -2.9E-013
0.164 -4.254E-011 -7.6E-013
0.15 -4.179E-011 -2.32E-012
0.136 -4.243E-011 -3.1E-012
0.122 -4.284E-011 -3.59E-012
0.108 -4.545E-011 -4.23E-012
0.094 -5.236E-011 -5.19E-012
0.08 -6.45E-011 -3.9E-012
0.066 -8.267E-011 -5.16E-012
0.052 -1.0985E-010 -4.15E-012
0.038 -1.4846E-010 -4.23E-012
0.024 -2.2139E-010 -4.92E-012
0.01 -3.3948E-010 -4.7E-012
-0.004 -5.2111E-010 -4.04E-012
-0.018 -8.1566E-010 -4.22E-012
-0.032 -1.2299E-009 5.7E-013
-0.046 -1.9067E-009 3.5E-013
-0.06 -0.000000003 1.1E-013
-0.074 -4.6533E-009 1.14E-012
-0.088 -7.2755E-009 2.1E-013
-0.102 -1.14178E-008 2.58E-012
-0.116 -1.867E-008 8.48E-012
-0.13 -3.07388E-008 4.79E-012
-0.144 -4.751E-008 -3.59E-012
-0.158 -6.97614E-008 -5.85E-012
-0.172 -1.1512E-007 7.85E-012
-0.186 -1.6978E-007 4.48E-012
-0.2 -2.5486E-007 5.8E-013
-0.214 -3.859E-007 -3.14E-012
-0.228 -5.8872E-007 -5.76E-012
-0.242 -8.9858E-007 -6E-012
-0.256 -1.4329E-006 5.8E-012
-0.27 -2.1058E-006 1.45E-012
-0.284 -3.0994E-006 -2.27E-012
-0.298 -0.000004562 -4.24E-012
-0.312 -6.6715E-006 -5.59E-012
-0.326 -9.6679E-006 -6.09E-012
-0.34 -0.000013906 -5.87E-012
-0.354 -0.000019822 -6.48E-012
-0.368 -0.000028548 -6.67E-012
-0.382 -0.000040114 -3.52E-012
-0.396 -0.000055676 2.7E-013
-0.41 -0.000075238 3.88E-012
-0.424 -0.000099552 5.7E-012
-0.438 -0.00012066 -4.55E-012
-0.452 -0.00015396 -7.91E-012
-0.466 -0.00019458 -8.78E-012
-0.48 -0.00024282 -8.95E-012
-0.494 -0.00030384 -7.64E-012
-0.508 -0.00037196 -5.38E-012
-0.522 -0.00045066 -2E-012
-0.536 -0.0005341 2.29E-012
-0.55 -0.00062528 3.84E-012
-0.564 -0.00071864 3.89E-012
-0.578 -0.0008139 1.66E-012
-0.592 -0.00091548 -2.75E-012
-0.606 -0.00102764 -7.18E-012
-0.62 -0.0011776 2.33E-012
-0.634 -0.0012892 -1.07E-012
-0.648 -0.0014164 -6.66E-012
-0.662 -0.0015484 -1.119E-011
-0.676 -0.0016922 -1.188E-011
-0.69 -0.001842 -1.234E-011
-0.704 -0.0020076 -1.334E-011
-0.718 -0.002161 -1.281E-011
-0.732 -0.0023292 -1.316E-011
-0.746 -0.0025016 -1.116E-011
-0.76 -0.0026788 -7.31E-012
-0.774 -0.0028508 -5.74E-012
-0.788 -0.0030204 -3.42E-012
-0.802 -0.0031892 -3.12E-012
-0.816 -0.0033352 -6.53E-012
-0.83 -0.0034892 -1.075E-011
-0.844 -0.0036602 -1.47E-011
-0.858 -0.0038258 -1.93E-011
-0.872 -0.003992 -2.122E-011
-0.886 -0.0041778 -2.252E-011
-0.9 -0.0043366 -2.173E-011
-0.9 -0.0043468 -1.333E-011
-0.886 -0.0041852 -1.724E-011
-0.872 -0.0039908 -1.825E-011
-0.858 -0.0038178 -1.989E-011
-0.844 -0.0036492 -1.748E-011
-0.83 -0.0034826 -1.691E-011
-0.816 -0.0033338 -1.412E-011
-0.802 -0.0031678 -9.69E-012
-0.788 -0.003012 -5.43E-012
-0.774 -0.0028416 -6.5E-013
-0.76 -0.0026436 -1.8E-012
-0.746 -0.0024704 -5.7E-012
-0.732 -0.002298 -8.92E-012
-0.718 -0.0021384 -1.207E-011
-0.704 -0.0019794 -1.247E-011
-0.69 -0.0018378 -1.237E-011
-0.676 -0.0016892 -1.104E-011
-0.662 -0.0015512 -9.21E-012
-0.648 -0.0014112 -9.55E-012
-0.634 -0.0012866 -7.02E-012
-0.62 -0.0011676 -2.99E-012
-0.606 -0.0010482 1.45E-012
-0.592 -0.00089286 -1.123E-011
-0.578 -0.00078922 -9.83E-012
-0.564 -0.00069738 -7.37E-012
-0.55 -0.0006082 -3.37E-012
-0.536 -0.00052574 1.27E-012
-0.522 -0.00044738 4.85E-012
-0.508 -0.00037324 7.8E-012
-0.494 -0.00030444 6.35E-012
-0.48 -0.0002411 2.44E-012
-0.466 -0.0001905 -2.62E-012
-0.452 -0.00014798 -6.44E-012
-0.438 -0.00011468 -8.04E-012
-0.424 -0.000093298 5.9E-012
-0.41 -0.000068444 1.88E-012
-0.396 -0.000050126 -3.11E-012
-0.382 -0.000036586 -6.86E-012
-0.368 -0.000026352 -7.08E-012
-0.354 -0.000018702 -7.36E-012
