Vd Vgf Vs Vgb L IDS qtotd qtots vbgs  
0.0 -0.373737373737 1 1 1e-06 2.772e-05 9.272e-04 9.053e-03 -8.610e-03 
0.95 -0.373737373737 1 1 1e-06 3.801e-06 8.442e-03 9.176e-03 -1.181e-03 
0.0 -0.353535353535 1 1 1e-06 2.649e-05 8.881e-04 8.791e-03 -8.229e-03 
0.95 -0.353535353535 1 1 1e-06 3.735e-06 8.174e-03 8.907e-03 -1.161e-03 
0.0 -0.333333333333 1 1 1e-06 2.529e-05 8.506e-04 8.528e-03 -7.854e-03 
0.95 -0.333333333333 1 1 1e-06 3.666e-06 7.906e-03 8.639e-03 -1.139e-03 
0.0 -0.313131313131 1 1 1e-06 2.410e-05 8.146e-04 8.266e-03 -7.484e-03 
0.95 -0.313131313131 1 1 1e-06 3.596e-06 7.639e-03 8.371e-03 -1.118e-03 
0.0 -0.292929292929 1 1 1e-06 2.292e-05 7.799e-04 8.005e-03 -7.119e-03 
0.95 -0.292929292929 1 1 1e-06 3.524e-06 7.373e-03 8.103e-03 -1.095e-03 
0.0 -0.272727272727 1 1 1e-06 2.177e-05 7.465e-04 7.744e-03 -6.761e-03 
0.95 -0.272727272727 1 1 1e-06 3.451e-06 7.107e-03 7.837e-03 -1.072e-03 
0.0 -0.252525252525 1 1 1e-06 2.064e-05 7.141e-04 7.483e-03 -6.408e-03 
0.95 -0.252525252525 1 1 1e-06 3.375e-06 6.842e-03 7.571e-03 -1.049e-03 
0.0 -0.232323232323 1 1 1e-06 1.952e-05 6.829e-04 7.223e-03 -6.062e-03 
0.95 -0.232323232323 1 1 1e-06 3.298e-06 6.578e-03 7.306e-03 -1.025e-03 
0.0 -0.212121212121 1 1 1e-06 1.843e-05 6.527e-04 6.964e-03 -5.723e-03 
0.95 -0.212121212121 1 1 1e-06 3.218e-06 6.315e-03 7.041e-03 -1.000e-03 
0.0 -0.191919191919 1 1 1e-06 1.736e-05 6.234e-04 6.705e-03 -5.390e-03 
0.95 -0.191919191919 1 1 1e-06 3.137e-06 6.053e-03 6.777e-03 -9.748e-04 
0.0 -0.171717171717 1 1 1e-06 1.631e-05 5.950e-04 6.448e-03 -5.065e-03 
0.95 -0.171717171717 1 1 1e-06 3.053e-06 5.791e-03 6.514e-03 -9.488e-04 
0.0 -0.151515151515 1 1 1e-06 1.529e-05 5.674e-04 6.190e-03 -4.747e-03 
0.95 -0.151515151515 1 1 1e-06 2.967e-06 5.531e-03 6.252e-03 -9.221e-04 
0.0 -0.131313131313 1 1 1e-06 1.429e-05 5.407e-04 5.934e-03 -4.437e-03 
0.95 -0.131313131313 1 1 1e-06 2.879e-06 5.272e-03 5.991e-03 -8.948e-04 
0.0 -0.111111111111 1 1 1e-06 1.332e-05 5.147e-04 5.678e-03 -4.135e-03 
0.95 -0.111111111111 1 1 1e-06 2.789e-06 5.014e-03 5.731e-03 -8.667e-04 
0.0 -0.0909090909091 1 1 1e-06 1.237e-05 4.894e-04 5.423e-03 -3.841e-03 
0.95 -0.0909090909091 1 1 1e-06 2.696e-06 4.757e-03 5.472e-03 -8.379e-04 
0.0 -0.0707070707071 1 1 1e-06 1.145e-05 4.648e-04 5.170e-03 -3.556e-03 
0.95 -0.0707070707071 1 1 1e-06 2.601e-06 4.501e-03 5.214e-03 -8.083e-04 
0.0 -0.0505050505051 1 1 1e-06 1.056e-05 4.410e-04 4.917e-03 -3.279e-03 
0.95 -0.0505050505051 1 1 1e-06 2.503e-06 4.248e-03 4.957e-03 -7.780e-04 
0.0 -0.030303030303 1 1 1e-06 9.704e-06 4.177e-04 4.665e-03 -3.012e-03 
0.95 -0.030303030303 1 1 1e-06 2.403e-06 3.995e-03 4.702e-03 -7.469e-04 
0.0 -0.010101010101 1 1 1e-06 8.874e-06 3.951e-04 4.415e-03 -2.754e-03 
0.95 -0.010101010101 1 1 1e-06 2.301e-06 3.745e-03 4.448e-03 -7.149e-04 
0.0 0.010101010101 1 1 1e-06 8.076e-06 3.731e-04 4.166e-03 -2.507e-03 
0.95 0.010101010101 1 1 1e-06 2.195e-06 3.496e-03 4.195e-03 -6.822e-04 
0.0 0.030303030303 1 1 1e-06 7.311e-06 3.517e-04 3.919e-03 -2.269e-03 
0.95 0.030303030303 1 1 1e-06 2.087e-06 3.250e-03 3.945e-03 -6.487e-04 
0.0 0.0505050505051 1 1 1e-06 6.580e-06 3.308e-04 3.673e-03 -2.042e-03 
0.95 0.0505050505051 1 1 1e-06 1.977e-06 3.006e-03 3.696e-03 -6.144e-04 
