Vd Vgf Vs Vgb L IDS qicore xg1 xg2  
1.0 -0.12 0 5.0 5.5e-08 8.033e-04 19.8517 8.8782 102.6715 
1.0 -0.1 0 5.0 5.5e-08 8.120e-04 20.3503 9.5946 102.6157 
1.0 -0.08 0 5.0 5.5e-08 8.209e-04 20.8560 10.3093 102.5582 
1.0 -0.06 0 5.0 5.5e-08 8.302e-04 21.3699 11.0222 102.4988 
1.0 -0.04 0 5.0 5.5e-08 8.399e-04 21.8931 11.7331 102.4374 
1.0 -0.02 0 5.0 5.5e-08 8.501e-04 22.4267 12.4418 102.3737 
1.0 1.33226762955e-15 0 5.0 5.5e-08 8.609e-04 22.9721 13.1482 102.3078 
1.0 0.02 0 5.0 5.5e-08 8.725e-04 23.5307 13.8524 102.2395 
1.0 0.04 0 5.0 5.5e-08 8.849e-04 24.1039 14.5542 102.1689 
1.0 0.06 0 5.0 5.5e-08 8.983e-04 24.6930 15.2538 102.0959 
1.0 0.08 0 5.0 5.5e-08 9.126e-04 25.2993 15.9511 102.0207 
1.0 0.1 0 5.0 5.5e-08 9.280e-04 25.9236 16.6462 101.9433 
1.0 0.12 0 5.0 5.5e-08 9.445e-04 26.5666 17.3393 101.8638 
1.0 0.14 0 5.0 5.5e-08 9.620e-04 27.2286 18.0304 101.7822 
1.0 0.16 0 5.0 5.5e-08 9.805e-04 27.9098 18.7196 101.6988 
1.0 0.18 0 5.0 5.5e-08 1.000e-03 28.6098 19.4071 101.6136 
1.0 0.2 0 5.0 5.5e-08 1.020e-03 29.3281 20.0928 101.5267 
1.0 0.22 0 5.0 5.5e-08 1.042e-03 30.0640 20.7770 101.4381 
1.0 0.24 0 5.0 5.5e-08 1.064e-03 30.8167 21.4597 101.3481 
1.0 0.26 0 5.0 5.5e-08 1.087e-03 31.5853 22.1409 101.2565 
1.0 0.28 0 5.0 5.5e-08 1.110e-03 32.3686 22.8208 101.1636 
1.0 0.3 0 5.0 5.5e-08 1.134e-03 33.1657 23.4993 101.0694 
1.0 0.32 0 5.0 5.5e-08 1.159e-03 33.9755 24.1766 100.9738 
