vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.7 -0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.172e-10 -3.803e-04 -3.4818 19.8270 -6.0307 -1.612e-05 -3.817e-04 -3.838e-11 -3.955e-09 8.3825 -1.612e-05 -4.135e-23 -0.70000 -2.143e-07 -3.955e-09 6.364e-02
-0.05 -0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.024e-10 -3.805e-04 -3.5030 13.1451 -6.0673 -1.343e-05 -3.814e-04 -1.862e-11 -2.791e-06 1.6394 -1.343e-05 -4.165e-23 -5.0000e-02 -2.930e-06 -2.791e-06 7.071e-02
-0.7 -0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.220e-10 -3.803e-04 -3.4818 19.8270 -6.0307 -2.017e-05 -3.820e-04 -4.802e-11 -4.949e-09 8.3825 -2.018e-05 -4.660e-23 -0.70000 -2.681e-07 -4.949e-09 7.071e-02
-0.05 -0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.536e-10 -3.806e-04 -3.5030 13.1451 -6.0673 -1.683e-05 -3.817e-04 -2.333e-11 -3.497e-06 1.6394 -1.683e-05 -4.694e-23 -5.0000e-02 -3.671e-06 -3.497e-06 7.778e-02
-0.7 -0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.509e-10 -3.803e-04 -3.4818 19.8270 -6.0307 -2.516e-05 -3.825e-04 -5.988e-11 -6.171e-09 8.3825 -2.516e-05 -5.302e-23 -0.70000 -3.343e-07 -6.171e-09 7.767e-02
-0.05 -0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.177e-10 -3.806e-04 -3.5030 13.1454 -6.0673 -2.108e-05 -3.821e-04 -2.923e-11 -4.381e-06 1.6397 -2.108e-05 -5.351e-23 -5.0000e-02 -4.599e-06 -4.381e-06 8.484e-02
-0.7 -0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.104e-10 -3.803e-04 -3.4818 19.8270 -6.0307 -3.132e-05 -3.830e-04 -7.456e-11 -7.684e-09 8.3825 -3.132e-05 -6.091e-23 -0.70000 -4.162e-07 -7.684e-09 8.458e-02
-0.05 -0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.980e-10 -3.807e-04 -3.5030 13.1451 -6.0673 -2.641e-05 -3.826e-04 -3.662e-11 -5.490e-06 1.6394 -2.642e-05 -6.169e-23 -5.0000e-02 -5.763e-06 -5.490e-06 9.191e-02
-0.7 -0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.022e-09 -3.803e-04 -3.4818 19.8271 -6.0307 -3.951e-05 -3.838e-04 -9.406e-11 -9.692e-09 8.3826 -3.952e-05 -7.134e-23 -0.70000 -5.250e-07 -9.692e-09 9.190e-02
-0.05 -0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.989e-10 -3.809e-04 -3.5030 13.1451 -6.0673 -3.311e-05 -3.832e-04 -4.590e-11 -6.882e-06 1.6394 -3.311e-05 -7.193e-23 -5.0000e-02 -7.224e-06 -6.882e-06 9.899e-02
