idsperum vfed vg qms vfes ids vgs_out vgs_noswap sweepvar qm qmd
7.951e-07 0. 0.1394 -3.416e-02 0. 7.315e-08 0.3000 0.3000 2.2000e-09 1.728e-02 -6.348e-06
1.198e-06 0. 0.1519 -4.997e-02 0. 1.102e-07 0.3125 0.3125 2.2500e-09 2.540e-02 -9.491e-06
1.784e-06 0. 0.1527 -7.169e-02 0. 1.641e-07 0.3250 0.3250 2.3000e-09 3.666e-02 -1.395e-05
2.619e-06 0. 0.1803 -0.1006 0. 2.409e-07 0.3375 0.3375 2.3500e-09 5.188e-02 -2.008e-05
3.782e-06 0. 0.1786 -0.1380 0. 3.480e-07 0.3500 0.3500 2.4000e-09 7.181e-02 -2.825e-05
5.367e-06 0. 0.1771 -0.1847 0. 4.938e-07 0.3625 0.3625 2.4500e-09 9.717e-02 -3.878e-05
7.474e-06 0. 0.1883 -0.2413 0. 6.876e-07 0.3750 0.3750 2.5000e-09 0.1285 -5.191e-05
1.021e-05 0. 0.2054 -0.3081 0. 9.394e-07 0.3875 0.3875 2.5500e-09 0.1662 -6.786e-05
1.368e-05 0. 0.2210 -0.3851 0. 1.259e-06 0.4000 0.4000 2.6000e-09 0.2105 -8.679e-05
1.800e-05 0. 0.2315 -0.4721 0. 1.656e-06 0.4125 0.4125 2.6500e-09 0.2613 -1.089e-04
2.325e-05 0. 0.2425 -0.5685 0. 2.139e-06 0.4250 0.4250 2.7000e-09 0.3187 -1.346e-04
2.953e-05 0. 0.2445 -0.6740 0. 2.716e-06 0.4375 0.4375 2.7500e-09 0.3823 -1.644e-04
3.690e-05 0. 0.2554 -0.7879 0. 3.395e-06 0.4500 0.4500 2.8000e-09 0.4519 -1.990e-04
4.542e-05 0. 0.2759 -0.9098 0. 4.179e-06 0.4625 0.4625 2.8500e-09 0.5272 -2.396e-04
5.516e-05 0. 0.2745 -1.0391 0. 5.074e-06 0.4750 0.4750 2.9000e-09 0.6079 -2.875e-04
6.614e-05 0. 0.2889 -1.1754 0. 6.085e-06 0.4875 0.4875 2.9500e-09 0.6937 -3.450e-04
7.839e-05 0. 0.3038 -1.3185 0. 7.212e-06 0.5000 0.5000 3.0000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3180 -1.3185 0. 7.212e-06 0.5000 0.5000 3.0500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3311 -1.3185 0. 7.212e-06 0.5000 0.5000 3.1000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3303 -1.3185 0. 7.212e-06 0.5000 0.5000 3.1500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3033 -1.3185 0. 7.212e-06 0.5000 0.5000 3.2000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3182 -1.3185 0. 7.212e-06 0.5000 0.5000 3.2500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3047 -1.3185 0. 7.212e-06 0.5000 0.5000 3.3000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3226 -1.3185 0. 7.212e-06 0.5000 0.5000 3.3500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3033 -1.3185 0. 7.212e-06 0.5000 0.5000 3.4000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3316 -1.3185 0. 7.212e-06 0.5000 0.5000 3.4500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3177 -1.3185 0. 7.212e-06 0.5000 0.5000 3.5000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3114 -1.3185 0. 7.212e-06 0.5000 0.5000 3.5500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3087 -1.3185 0. 7.212e-06 0.5000 0.5000 3.6000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3167 -1.3185 0. 7.212e-06 0.5000 0.5000 3.6500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3176 -1.3185 0. 7.212e-06 0.5000 0.5000 3.7000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3081 -1.3185 0. 7.212e-06 0.5000 0.5000 3.7500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3063 -1.3185 0. 7.212e-06 0.5000 0.5000 3.8000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3288 -1.3185 0. 7.212e-06 0.5000 0.5000 3.8500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3309 -1.3185 0. 7.212e-06 0.5000 0.5000 3.9000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3282 -1.3185 0. 7.212e-06 0.5000 0.5000 3.9500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3187 -1.3185 0. 7.212e-06 0.5000 0.5000 4.0000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3105 -1.3185 0. 7.212e-06 0.5000 0.5000 4.0500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3080 -1.3185 0. 7.212e-06 0.5000 0.5000 4.1000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3113 -1.3185 0. 7.212e-06 0.5000 0.5000 4.1500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3102 -1.3185 0. 7.212e-06 0.5000 0.5000 4.2000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3087 -1.3185 0. 7.212e-06 0.5000 0.5000 4.2500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3086 -1.3185 0. 7.212e-06 0.5000 0.5000 4.3000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3089 -1.3185 0. 7.212e-06 0.5000 0.5000 4.3500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3109 -1.3185 0. 7.212e-06 0.5000 0.5000 4.4000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3130 -1.3185 0. 7.212e-06 0.5000 0.5000 4.4500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3141 -1.3185 0. 7.212e-06 0.5000 0.5000 4.5000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3147 -1.3185 0. 7.212e-06 0.5000 0.5000 4.5500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3153 -1.3185 0. 7.212e-06 0.5000 0.5000 4.6000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3159 -1.3185 0. 7.212e-06 0.5000 0.5000 4.6500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3165 -1.3185 0. 7.212e-06 0.5000 0.5000 4.7000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3171 -1.3185 0. 7.212e-06 0.5000 0.5000 4.7500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3176 -1.3185 0. 7.212e-06 0.5000 0.5000 4.8000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3180 -1.3185 0. 7.212e-06 0.5000 0.5000 4.8500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3175 -1.3185 0. 7.212e-06 0.5000 0.5000 4.9000e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3169 -1.3185 0. 7.212e-06 0.5000 0.5000 4.9500e-09 0.7844 -4.145e-04
7.839e-05 0. 0.3163 -1.3185 0. 7.212e-06 0.5000 0.5000 5.0000e-09 0.7844 -4.145e-04
6.614e-05 0. 0.2886 -1.1754 0. 6.085e-06 0.4875 0.4875 5.0500e-09 0.6937 -3.450e-04
5.516e-05 0. 0.2914 -1.0391 0. 5.074e-06 0.4750 0.4750 5.1000e-09 0.6079 -2.875e-04
4.542e-05 0. 0.2771 -0.9098 0. 4.179e-06 0.4625 0.4625 5.1500e-09 0.5272 -2.396e-04
3.690e-05 0. 0.2691 -0.7879 0. 3.395e-06 0.4500 0.4500 5.2000e-09 0.4519 -1.990e-04
2.953e-05 0. 0.2467 -0.6740 0. 2.716e-06 0.4375 0.4375 5.2500e-09 0.3823 -1.644e-04
2.325e-05 0. 0.2473 -0.5685 0. 2.139e-06 0.4250 0.4250 5.3000e-09 0.3187 -1.346e-04
1.800e-05 0. 0.2396 -0.4721 0. 1.656e-06 0.4125 0.4125 5.3500e-09 0.2613 -1.089e-04
1.368e-05 0. 0.2387 -0.3851 0. 1.259e-06 0.4000 0.4000 5.4000e-09 0.2105 -8.679e-05
1.021e-05 0. 0.2150 -0.3081 0. 9.394e-07 0.3875 0.3875 5.4500e-09 0.1662 -6.786e-05
7.474e-06 0. 0.1896 -0.2413 0. 6.876e-07 0.3750 0.3750 5.5000e-09 0.1285 -5.191e-05
5.367e-06 0. 0.1828 -0.1847 0. 4.938e-07 0.3625 0.3625 5.5500e-09 9.717e-02 -3.878e-05
3.782e-06 0. 0.1721 -0.1380 0. 3.480e-07 0.3500 0.3500 5.6000e-09 7.181e-02 -2.825e-05
2.619e-06 0. 0.1712 -0.1006 0. 2.409e-07 0.3375 0.3375 5.6500e-09 5.188e-02 -2.008e-05
