vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.7 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.571e-09 0. -7.313e-05 0. 1.445e-10 0.70000 4.852e-05 -7.421e-09
0.05 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.113e-09 0. -6.310e-05 0. 1.024e-10 5.0000e-02 4.907e-05 -1.070e-05
0.7 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.024e-09 0. -9.423e-05 0. 1.862e-10 0.70000 5.916e-05 -9.563e-09
0.05 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.436e-09 0. -8.143e-05 0. 1.321e-10 5.0000e-02 5.987e-05 -1.380e-05
0.7 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.608e-09 0. -1.214e-04 0. 2.400e-10 0.70000 7.284e-05 -1.232e-08
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.854e-09 0. -1.051e-04 0. 1.705e-10 5.0000e-02 7.379e-05 -1.782e-05
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.361e-09 0. -1.564e-04 0. 3.092e-10 0.70000 9.043e-05 -1.588e-08
0.05 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.392e-09 0. -1.356e-04 0. 2.201e-10 5.0000e-02 9.171e-05 -2.299e-05
0.7 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.331e-09 0. -2.016e-04 0. 3.984e-10 0.70000 1.131e-04 -2.046e-08
0.05 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.087e-09 0. -1.749e-04 0. 2.840e-10 5.0000e-02 1.148e-04 -2.967e-05
0.7 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.580e-09 0. -2.597e-04 0. 5.134e-10 0.70000 1.422e-04 -2.637e-08
0.05 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.983e-09 0. -2.257e-04 0. 3.665e-10 5.0000e-02 1.446e-04 -3.830e-05
0.7 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.190e-09 0. -3.345e-04 0. 6.615e-10 0.70000 1.797e-04 -3.398e-08
0.05 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.140e-09 0. -2.912e-04 0. 4.728e-10 5.0000e-02 1.830e-04 -4.942e-05
0.7 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.263e-09 0. -4.307e-04 0. 8.522e-10 0.70000 2.279e-04 -4.377e-08
0.05 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.631e-09 0. -3.756e-04 0. 6.100e-10 5.0000e-02 2.324e-04 -6.378e-05
0.7 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.193e-08 0. -5.546e-04 0. 1.098e-09 0.70000 2.900e-04 -5.639e-08
0.05 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.554e-09 0. -4.843e-04 0. 7.870e-10 5.0000e-02 2.962e-04 -8.231e-05
0.7 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.537e-08 0. -7.139e-04 0. 1.414e-09 0.70000 3.698e-04 -7.263e-08
0.05 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.103e-08 0. -6.245e-04 0. 1.015e-09 5.0000e-02 3.783e-04 -1.062e-04
