idsperum vfed qms vfes ids vgsmos sweepvar qm qmd vgs
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.1000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.2000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.3000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.4000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.5000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.6000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.7000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.8000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 5.9000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.0000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.1000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.2000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.3000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.4000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.5000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.6000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.7000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.8000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 6.9000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.0000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.1000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.2000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.3000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.4000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.5000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.6000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.7000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.8000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 7.9000e-09 0.7844 -4.145e-04 0.5000
7.839e-05 0. -1.3185 0. 7.212e-06 0.5000 8.0000e-09 0.7844 -4.145e-04 0.5000
6.001e-05 0. -1.0685 0. 5.521e-06 0.4750 8.1000e-09 0.6291 -3.212e-04 0.4750
4.163e-05 0. -0.8185 0. 3.830e-06 0.4500 8.2000e-09 0.4739 -2.279e-04 0.4500
2.325e-05 0. -0.5685 0. 2.139e-06 0.4250 8.3000e-09 0.3187 -1.346e-04 0.4250
1.435e-05 0. -0.3944 0. 1.320e-06 0.4000 8.4000e-09 0.2164 -8.951e-05 0.4000
8.965e-06 0. -0.2645 0. 8.247e-07 0.3750 8.5000e-09 0.1431 -5.842e-05 0.3750
3.884e-06 0. -0.1406 0. 3.573e-07 0.3500 8.6000e-09 7.329e-02 -2.889e-05 0.3500
2.430e-06 0. -9.016e-02 0. 2.235e-07 0.3250 8.7000e-09 4.678e-02 -1.824e-05 0.3250
9.758e-07 0. -3.967e-02 0. 8.978e-08 0.3000 8.8000e-09 2.026e-02 -7.596e-06 0.3000
4.812e-07 0. -2.096e-02 0. 4.427e-08 0.2750 8.9000e-09 1.059e-02 -3.850e-06 0.2750
2.471e-07 0. -1.087e-02 0. 2.273e-08 0.2500 9.0000e-09 5.492e-03 -1.978e-06 0.2500
6.984e-08 0. -3.227e-03 0. 6.425e-09 0.2250 9.1000e-09 1.629e-03 -5.603e-07 0.2250
5.375e-08 0. -2.484e-03 0. 4.945e-09 0.2000 9.2000e-09 1.256e-03 -4.312e-07 0.2000
3.766e-08 0. -1.740e-03 0. 3.465e-09 0.1750 9.3000e-09 8.839e-04 -3.021e-07 0.1750
2.157e-08 0. -9.970e-04 0. 1.984e-09 0.1500 9.4000e-09 5.115e-04 -1.730e-07 0.1500
5.477e-09 0. -2.537e-04 0. 5.039e-10 0.1250 9.5000e-09 1.390e-04 -4.391e-08 0.1250
1.090e-09 0. -5.095e-05 0. 1.003e-10 0.1000 9.6000e-09 3.723e-05 -8.727e-09 0.1000
8.221e-10 0. -3.843e-05 0. 7.563e-11 7.500e-02 9.7000e-09 3.066e-05 -6.582e-09 7.500e-02
5.541e-10 0. -2.590e-05 0. 5.098e-11 5.000e-02 9.8000e-09 2.408e-05 -4.436e-09 5.000e-02
2.862e-10 0. -1.338e-05 0. 2.633e-11 2.500e-02 9.9000e-09 1.751e-05 -2.291e-09 2.500e-02
1.820e-11 0. -8.510e-07 0. 1.675e-12 3.834e-12 1.0000e-08 1.093e-05 -1.457e-10 3.834e-12
1.820e-11 0. -8.510e-07 0. 1.675e-12 2.556e-12 1.0100e-08 1.093e-05 -1.457e-10 2.556e-12
1.820e-11 0. -8.510e-07 0. 1.675e-12 1.277e-12 1.0200e-08 1.093e-05 -1.457e-10 1.277e-12
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.721e-15 1.0300e-08 1.093e-05 -1.457e-10 -1.721e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.652e-15 1.0400e-08 1.093e-05 -1.457e-10 -1.652e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.665e-15 1.0500e-08 1.093e-05 -1.457e-10 -1.665e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.679e-15 1.0600e-08 1.093e-05 -1.457e-10 -1.679e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.692e-15 1.0700e-08 1.093e-05 -1.457e-10 -1.692e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.0800e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.0900e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1000e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1100e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1200e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1300e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1400e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1500e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1600e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1700e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1800e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.693e-15 1.1900e-08 1.093e-05 -1.457e-10 -1.693e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.207e-15 1.2000e-08 1.093e-05 -1.457e-10 -1.207e-15
