vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi ids02 sweepvar qm qmd vgs
0.05 0.368421052632 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.982e-06 -2.754e-03 -3.9349 14.4552 -6.8154 0.1465 -1.184e-02 6.424e-07 3.209e-02 1.7046 0.1627 2.002e-19 NaN 5.0000e-02 3.185e-02 3.033e-02 0.3684
0.7 0.368421052632 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.581e-05 -5.938e-04 -3.9082 17.2477 -6.7692 0.2127 -1.712e-02 1.455e-06 2.734e-03 4.5738 0.2355 2.538e-19 NaN 0.70000 5.449e-03 2.710e-03 0.3684
0.05 0.405263157895 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.195e-05 -8.440e-03 -3.9349 14.4838 -6.8154 0.5411 -4.245e-02 2.939e-06 0.1137 1.7332 0.5398 7.569e-19 NaN 5.0000e-02 0.1087 0.1030 0.4053
0.7 0.405263157895 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.848e-05 -6.583e-04 -3.9082 18.2925 -6.7692 0.8554 -6.669e-02 7.220e-06 3.568e-03 5.6187 0.7400 1.105e-18 NaN 0.70000 1.464e-02 3.529e-03 0.4053
0.05 0.442105263158 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.542e-04 -2.720e-02 -3.9349 14.5442 -6.8154 2.5910 -0.1737 2.339e-05 0.3694 1.7936 1.4491 3.756e-18 NaN 5.0000e-02 0.3730 0.3436 0.4421
0.7 0.442105263158 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.559e-04 -4.246e-04 -3.9082 21.4515 -6.7692 2.9986 -0.1901 3.274e-05 5.632e-04 8.7777 1.7988 4.274e-18 NaN 0.70000 3.968e-02 5.621e-04 0.4421
0.05 0.478947368421 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.971e-04 -0.1272 -3.9349 14.5558 -6.8154 3.7024 -0.2043 2.734e-05 1.0742 1.8051 2.7343 6.257e-18 NaN 5.0000e-02 1.7598 1.7341 0.4789
0.7 0.478947368421 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.720e-04 -4.317e-04 -3.9082 22.6124 -6.7692 3.8752 -0.2053 4.342e-05 6.548e-04 9.9385 3.0472 5.669e-18 NaN 0.70000 5.120e-02 6.534e-04 0.4789
0.05 0.515789473684 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.649e-04 -0.2003 -3.9349 14.5600 -6.8154 4.3205 -0.2022 1.517e-05 2.2971 1.8094 3.7461 8.607e-18 NaN 5.0000e-02 3.4285 3.4167 0.5158
0.7 0.515789473684 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.423e-04 -4.755e-04 -3.9082 23.3066 -6.7692 4.4287 -0.1995 4.989e-05 1.214e-03 10.6327 3.9204 6.580e-18 NaN 0.70000 5.897e-02 1.209e-03 0.5158
0.05 0.552631578947 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.246e-04 -0.2045 -3.9349 14.5625 -6.8154 4.7756 -0.1901 1.146e-05 3.4524 1.8118 4.3499 9.887e-18 NaN 5.0000e-02 4.1423 4.1339 0.5526
0.7 0.552631578947 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.942e-04 -5.913e-04 -3.9082 23.8174 -6.7692 4.8520 -0.1857 5.467e-05 2.702e-03 11.1435 4.4434 7.293e-18 NaN 0.70000 6.595e-02 2.679e-03 0.5526
0.05 0.589473684211 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.039e-04 -0.1950 -3.9349 14.5642 -6.8154 5.1458 -0.1729 9.558e-06 4.1753 1.8135 4.7494 1.084e-17 NaN 5.0000e-02 4.6375 4.6308 0.5895
0.7 0.589473684211 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.359e-04 -8.943e-04 -3.9082 24.2270 -6.7692 5.2025 -0.1675 5.850e-05 6.647e-03 11.5531 4.8120 7.893e-18 NaN 0.70000 7.431e-02 6.524e-03 0.5895
0.05 0.626315789474 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.070e-05 -0.1792 -3.9349 14.5654 -6.8154 5.4624 -0.1525 8.344e-06 4.6240 1.8148 5.0765 1.163e-17 NaN 5.0000e-02 5.0309 5.0252 0.6263
0.7 0.626315789474 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.709e-04 -1.701e-03 -3.9082 24.5713 -6.7692 5.5051 -0.1465 6.172e-05 1.742e-02 11.8974 5.1278 8.418e-18 NaN 0.70000 8.837e-02 1.676e-02 0.6263
0.05 0.663157894737 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.135e-05 -0.1599 -3.9349 14.5664 -6.8154 5.7414 -0.1300 7.484e-06 4.9674 1.8158 5.3809 1.230e-17 NaN 5.0000e-02 5.3628 5.3577 0.6632
0.7 0.663157894737 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.012e-04 -3.870e-03 -3.9082 24.8694 -6.7692 5.7736 -0.1235 6.451e-05 4.748e-02 12.1955 5.4273 8.884e-18 NaN 0.70000 0.1190 4.429e-02 0.6632
0.05 0.7 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.429e-05 -0.1380 -3.9349 14.5673 -6.8154 5.9924 -0.1059 6.834e-06 5.2766 1.8167 5.6787 1.290e-17 NaN 5.0000e-02 5.6528 5.6483 0.7000
0.7 0.7 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.281e-04 -9.752e-03 -3.9082 25.1330 -6.7692 6.0162 -9.908e-02 6.699e-05 0.1317 12.4591 5.7222 9.296e-18 NaN 0.70000 0.1959 0.1190 0.7000
