vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.128e-11 0. -6.392e-07 0. 1.038e-12 5.0000e-02 -1.152e-07 -1.083e-07
0.05 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.455e-11 0. -8.249e-07 0. 1.339e-12 5.0000e-02 -1.487e-07 -1.398e-07
0.05 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.877e-11 0. -1.064e-06 0. 1.727e-12 5.0000e-02 -1.919e-07 -1.804e-07
0.05 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.424e-11 0. -1.374e-06 0. 2.230e-12 5.0000e-02 -2.477e-07 -2.328e-07
0.05 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.129e-11 0. -1.774e-06 0. 2.879e-12 5.0000e-02 -3.197e-07 -3.005e-07
0.05 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.037e-11 0. -2.288e-06 0. 3.714e-12 5.0000e-02 -4.125e-07 -3.877e-07
0.05 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.211e-11 0. -2.954e-06 0. 4.794e-12 5.0000e-02 -5.325e-07 -5.005e-07
0.05 0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.728e-11 0. -3.813e-06 0. 6.190e-12 5.0000e-02 -6.873e-07 -6.460e-07
0.05 0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.684e-11 0. -4.922e-06 0. 7.989e-12 5.0000e-02 -8.872e-07 -8.339e-07
0.05 0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.121e-10 0. -6.352e-06 0. 1.031e-11 5.0000e-02 -1.145e-06 -1.077e-06
0.05 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.447e-10 0. -8.199e-06 0. 1.331e-11 5.0000e-02 -1.479e-06 -1.390e-06
0.05 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.865e-10 0. -1.057e-05 0. 1.716e-11 5.0000e-02 -1.906e-06 -1.792e-06
0.05 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.410e-10 0. -1.366e-05 0. 2.217e-11 5.0000e-02 -2.462e-06 -2.314e-06
0.05 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.110e-10 0. -1.763e-05 0. 2.862e-11 5.0000e-02 -3.178e-06 -2.987e-06
0.05 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.013e-10 0. -2.275e-05 0. 3.692e-11 5.0000e-02 -4.101e-06 -3.854e-06
0.05 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.179e-10 0. -2.935e-05 0. 4.765e-11 5.0000e-02 -5.291e-06 -4.973e-06
0.05 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.682e-10 0. -3.787e-05 0. 6.148e-11 5.0000e-02 -6.826e-06 -6.416e-06
0.05 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.623e-10 0. -4.886e-05 0. 7.933e-11 5.0000e-02 -8.806e-06 -8.276e-06
0.05 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.114e-09 0. -6.311e-05 0. 1.025e-10 5.0000e-02 -1.138e-05 -1.070e-05
0.05 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.437e-09 0. -8.141e-05 0. 1.322e-10 5.0000e-02 -1.468e-05 -1.380e-05
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.854e-09 0. -1.050e-04 0. 1.705e-10 5.0000e-02 -1.895e-05 -1.782e-05
0.05 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.394e-09 0. -1.356e-04 0. 2.202e-10 5.0000e-02 -2.447e-05 -2.300e-05
0.05 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.089e-09 0. -1.750e-04 0. 2.841e-10 5.0000e-02 -3.157e-05 -2.967e-05
0.05 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.985e-09 0. -2.257e-04 0. 3.666e-10 5.0000e-02 -4.074e-05 -3.829e-05
0.05 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.142e-09 0. -2.912e-04 0. 4.731e-10 5.0000e-02 -5.258e-05 -4.942e-05
0.05 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.634e-09 0. -3.756e-04 0. 6.104e-10 5.0000e-02 -6.785e-05 -6.378e-05
0.05 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.558e-09 0. -4.843e-04 0. 7.873e-10 5.0000e-02 -8.754e-05 -8.230e-05
0.05 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.104e-08 0. -6.245e-04 0. 1.016e-09 5.0000e-02 -1.130e-04 -1.062e-04
0.05 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.424e-08 0. -8.049e-04 0. 1.310e-09 5.0000e-02 -1.458e-04 -1.371e-04
0.05 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.836e-08 0. -1.037e-03 0. 1.689e-09 5.0000e-02 -1.881e-04 -1.768e-04
0.05 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.365e-08 0. -1.335e-03 0. 2.176e-09 5.0000e-02 -2.426e-04 -2.281e-04
0.05 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.049e-08 0. -1.719e-03 0. 2.805e-09 5.0000e-02 -3.129e-04 -2.943e-04
0.05 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.928e-08 0. -2.211e-03 0. 3.613e-09 5.0000e-02 -4.035e-04 -3.796e-04
0.05 0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.056e-08 0. -2.842e-03 0. 4.652e-09 5.0000e-02 -5.202e-04 -4.895e-04
0.05 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.504e-08 0. -3.647e-03 0. 5.984e-09 5.0000e-02 -6.703e-04 -6.309e-04
0.05 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.363e-08 0. -4.677e-03 0. 7.694e-09 5.0000e-02 -8.638e-04 -8.134e-04
0.05 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.074e-07 0. -5.988e-03 0. 9.883e-09 5.0000e-02 -1.113e-03 -1.048e-03
0.05 0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.378e-07 0. -7.650e-03 0. 1.268e-08 5.0000e-02 -1.432e-03 -1.350e-03
0.05 0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.765e-07 0. -9.754e-03 0. 1.624e-08 5.0000e-02 -1.842e-03 -1.737e-03
0.05 0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.259e-07 0. -1.241e-02 0. 2.078e-08 5.0000e-02 -2.369e-03 -2.236e-03
0.05 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.883e-07 0. -1.573e-02 0. 2.652e-08 5.0000e-02 -3.038e-03 -2.870e-03
0.05 0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.669e-07 0. -1.986e-02 0. 3.375e-08 5.0000e-02 -3.890e-03 -3.679e-03
0.05 0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.658e-07 0. -2.499e-02 0. 4.286e-08 5.0000e-02 -4.987e-03 -4.722e-03
