Vd Vg Vs Vb L Ids Qg E_FE V_FE  
0.3 0.0939393939394 0 0 1e-06 2.169e-11 -7.931e-19 1.280e+03 2.945e-04 
0.05 0.0969696969697 0 0 1e-06 2.083e-11 1.066e-18 -1.721e+03 -3.960e-04 
0.3 0.0969696969697 0 0 1e-06 5.995e-16 -3.689e-15 5.956e+06 1.3699 
0.05 0.1 0 0 1e-06 4.965e-16 -3.700e-15 5.973e+06 1.3739 
0.3 0.1 0 0 1e-06 2.745e-11 -7.009e-19 1.131e+03 2.603e-04 
0.05 0.10303030303 0 0 1e-06 2.621e-11 1.158e-18 -1.869e+03 -4.301e-04 
0.3 0.10303030303 0 0 1e-06 5.979e-16 -3.710e-15 5.989e+06 1.3776 
0.05 0.106060606061 0 0 1e-06 4.953e-16 -3.721e-15 6.006e+06 1.3816 
0.3 0.106060606061 0 0 1e-06 5.971e-16 -3.720e-15 6.006e+06 1.3814 
0.05 0.109090909091 0 0 1e-06 4.946e-16 -3.731e-15 6.023e+06 1.3854 
0.3 0.109090909091 0 0 1e-06 3.908e-11 -5.603e-19 904.6015 2.081e-04 
0.05 0.112121212121 0 0 1e-06 3.741e-11 1.303e-18 -2.102e+03 -4.837e-04 
0.3 0.112121212121 0 0 1e-06 5.956e-16 -3.741e-15 6.039e+06 1.3890 
0.05 0.115151515152 0 0 1e-06 4.211e-11 1.352e-18 -2.182e+03 -5.020e-04 
0.3 0.115151515152 0 0 1e-06 5.948e-16 -3.751e-15 6.055e+06 1.3928 
0.05 0.118181818182 0 0 1e-06 4.744e-11 1.402e-18 -2.263e+03 -5.206e-04 
0.3 0.118181818182 0 0 1e-06 5.940e-16 -3.761e-15 6.072e+06 1.3966 
0.05 0.121212121212 0 0 1e-06 4.921e-16 -3.772e-15 6.089e+06 1.4006 
0.3 0.121212121212 0 0 1e-06 4.641e-06 4.078e-15 -6.583e+06 -1.5143 
0.05 0.124242424242 0 0 1e-06 7.671e-07 3.041e-15 -4.909e+06 -1.1292 
0.3 0.124242424242 0 0 1e-06 5.924e-16 -3.782e-15 6.105e+06 1.4042 
0.05 0.127272727273 0 0 1e-06 4.907e-16 -3.792e-15 6.122e+06 1.4082 
0.3 0.127272727273 0 0 1e-06 5.917e-16 -3.792e-15 6.121e+06 1.4080 
0.05 0.130303030303 0 0 1e-06 4.901e-16 -3.803e-15 6.139e+06 1.4120 
