vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.0848484848485 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.046e-03 -6.6660 16.0663 -11.5458 7.125e-02 -4.020e-03 7.707e-08 6.847e-03 3.4812 7.038e-02 4.848e-20 0.40000 -6.858e-03 6.858e-03 8.485e-02
0.4 0.0888888888889 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.087e-03 -6.6660 16.0753 -11.5458 8.117e-02 -4.478e-03 8.844e-08 7.733e-03 3.4902 8.005e-02 5.530e-20 0.40000 -7.746e-03 7.746e-03 8.889e-02
0.4 0.0929292929293 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.133e-03 -6.6660 16.0855 -11.5458 9.246e-02 -5.000e-03 1.016e-07 8.721e-03 3.5005 9.102e-02 6.308e-20 0.40000 -8.738e-03 8.738e-03 9.293e-02
0.4 0.0969696969697 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.184e-03 -6.6660 16.0972 -11.5458 0.1053 -5.593e-03 1.168e-07 9.823e-03 3.5121 0.1035 7.196e-20 0.40000 -9.844e-03 9.844e-03 9.697e-02
0.4 0.10101010101 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.240e-03 -6.6660 16.1103 -11.5458 0.1199 -6.269e-03 1.344e-07 1.105e-02 3.5253 0.1176 8.211e-20 0.40000 -1.107e-02 1.107e-02 0.1010
0.4 0.105050505051 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.303e-03 -6.6660 16.1252 -11.5458 0.1366 -7.039e-03 1.549e-07 1.240e-02 3.5402 0.1336 9.369e-20 0.40000 -1.243e-02 1.243e-02 0.1051
0.4 0.109090909091 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.372e-03 -6.6660 16.1421 -11.5458 0.1556 -7.914e-03 1.787e-07 1.389e-02 3.5571 0.1517 1.069e-19 0.40000 -1.393e-02 1.393e-02 0.1091
0.4 0.113131313131 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.448e-03 -6.6660 16.1612 -11.5458 0.1772 -8.911e-03 2.065e-07 1.553e-02 3.5762 0.1721 1.220e-19 0.40000 -1.558e-02 1.558e-02 0.1131
0.4 0.117171717172 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.531e-03 -6.6660 16.1828 -11.5458 0.2017 -1.005e-02 2.390e-07 1.731e-02 3.5978 0.1953 1.393e-19 0.40000 -1.737e-02 1.737e-02 0.1172
0.4 0.121212121212 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.621e-03 -6.6660 16.2072 -11.5458 0.2297 -1.134e-02 2.771e-07 1.925e-02 3.6222 0.2214 1.591e-19 0.40000 -1.932e-02 1.932e-02 0.1212
0.4 0.125252525253 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.718e-03 -6.6660 16.2348 -11.5458 0.2616 -1.281e-02 3.219e-07 2.133e-02 3.6497 0.2508 1.817e-19 0.40000 -2.142e-02 2.142e-02 0.1253
0.4 0.129292929293 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.822e-03 -6.6660 16.2658 -11.5458 0.2979 -1.448e-02 3.748e-07 2.356e-02 3.6807 0.2840 2.076e-19 0.40000 -2.367e-02 2.367e-02 0.1293
0.4 0.133333333333 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.932e-03 -6.6660 16.3007 -11.5458 0.3392 -1.638e-02 4.374e-07 2.592e-02 3.7157 0.3213 2.372e-19 0.40000 -2.605e-02 2.605e-02 0.1333
0.4 0.137373737374 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.047e-03 -6.6660 16.3401 -11.5458 0.3863 -1.855e-02 5.118e-07 2.838e-02 3.7550 0.3631 2.711e-19 0.40000 -2.854e-02 2.854e-02 0.1374
0.4 0.141414141414 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.166e-03 -6.6660 16.3842 -11.5458 0.4401 -2.102e-02 6.005e-07 3.093e-02 3.7992 0.4100 3.101e-19 0.40000 -3.112e-02 3.112e-02 0.1414
