idsperum vfed vg qms vfes ids vgs_out vgs_noswap sweepvar qm qmd
9.472e-08 -3.803e-04 9.000e-02 -4.362e-03 -4.449e-04 8.714e-09 0.2375 0.2379 1.9500e-09 2.198e-03 -7.601e-07
1.470e-07 -3.804e-04 0.1000 -6.724e-03 -4.813e-04 1.353e-08 0.2500 0.2505 2.0000e-09 3.383e-03 -1.181e-06
2.425e-07 -3.804e-04 0.1100 -1.093e-02 -5.503e-04 2.231e-08 0.2625 0.2630 2.0500e-09 5.501e-03 -1.947e-06
3.510e-07 -3.805e-04 0.1200 -1.568e-02 -6.293e-04 3.229e-08 0.2750 0.2756 2.1000e-09 7.898e-03 -2.818e-06
5.751e-07 -3.807e-04 0.1300 -2.503e-02 -8.011e-04 5.291e-08 0.2875 0.2883 2.1500e-09 1.264e-02 -4.601e-06
8.413e-07 -3.809e-04 0.1400 -3.589e-02 -1.008e-03 7.740e-08 0.3000 0.3010 2.2000e-09 1.818e-02 -6.701e-06
1.326e-06 -3.812e-04 0.1500 -5.442e-02 -1.397e-03 1.220e-07 0.3125 0.3139 2.2500e-09 2.774e-02 -1.044e-05
1.975e-06 -3.816e-04 0.1600 -7.783e-02 -1.922e-03 1.817e-07 0.3250 0.3269 2.3000e-09 3.994e-02 -1.529e-05
2.954e-06 -3.823e-04 0.1700 -0.1109 -2.719e-03 2.718e-07 0.3375 0.3402 2.3500e-09 5.742e-02 -2.238e-05
4.432e-06 -3.831e-04 0.1800 -0.1557 -3.899e-03 4.077e-07 0.3500 0.3539 2.4000e-09 8.157e-02 -3.234e-05
6.345e-06 -3.843e-04 0.1900 -0.2106 -5.412e-03 5.837e-07 0.3625 0.3679 2.4500e-09 0.1115 -4.482e-05
1.059e-05 -3.863e-04 0.2000 -0.3019 -8.344e-03 9.741e-07 0.3750 0.3834 2.5000e-09 0.1642 -6.764e-05
1.567e-05 -3.887e-04 0.2100 -0.4065 -1.179e-02 1.442e-06 0.3875 0.3993 2.5500e-09 0.2250 -9.421e-05
2.076e-05 -3.910e-04 0.2200 -0.5111 -1.524e-02 1.910e-06 0.4000 0.4152 2.6000e-09 0.2859 -1.208e-04
2.724e-05 -3.940e-04 0.2300 -0.6293 -1.927e-02 2.506e-06 0.4125 0.4318 2.6500e-09 0.3558 -1.544e-04
4.266e-05 -4.011e-04 0.2400 -0.8356 -2.709e-02 3.925e-06 0.4250 0.4521 2.7000e-09 0.4842 -2.334e-04
5.808e-05 -4.081e-04 0.2500 -1.0420 -3.492e-02 5.344e-06 0.4375 0.4724 2.7500e-09 0.6126 -3.124e-04
7.350e-05 -4.152e-04 0.2600 -1.2483 -4.274e-02 6.762e-06 0.4500 0.4927 2.8000e-09 0.7411 -3.914e-04
9.490e-05 -4.267e-04 0.2700 -1.4987 -5.255e-02 8.731e-06 0.4624 0.5150 2.8500e-09 0.8995 -5.204e-04
1.266e-04 -4.494e-04 0.2801 -1.8172 -6.521e-02 1.165e-05 0.4746 0.5398 2.9000e-09 1.1045 -7.757e-04
1.664e-04 -4.888e-04 0.2901 -2.1862 -7.973e-02 1.531e-05 0.4871 0.5668 2.9500e-09 1.3439 -1.218e-03
2.155e-04 -5.609e-04 0.3000 -2.6087 -9.591e-02 1.982e-05 0.5000 0.5959 3.0000e-09 1.6197 -2.026e-03
2.606e-04 -6.671e-04 0.3000 -2.9744 -0.1197 2.398e-05 0.5000 0.6197 3.0500e-09 1.8598 -3.217e-03
2.971e-04 -7.933e-04 0.3000 -3.2598 -0.1376 2.734e-05 0.5000 0.6376 3.1000e-09 2.0478 -4.632e-03
3.270e-04 -9.350e-04 0.3000 -3.4877 -0.1515 3.008e-05 0.5000 0.6515 3.1500e-09 2.1984 -6.221e-03
3.500e-04 -1.074e-03 0.3000 -3.6608 -0.1620 3.220e-05 0.4999 0.6619 3.2000e-09 2.3128 -7.776e-03
3.683e-04 -1.206e-03 0.3000 -3.7970 -0.1700 3.388e-05 0.5000 0.6699 3.2500e-09 2.4031 -9.262e-03
3.805e-04 -1.307e-03 0.3000 -3.8872 -0.1754 3.500e-05 0.4998 0.6752 3.3000e-09 2.4628 -1.040e-02
3.907e-04 -1.402e-03 0.3000 -3.9621 -0.1796 3.594e-05 0.5000 0.6796 3.3500e-09 2.5125 -1.145e-02
3.973e-04 -1.468e-03 0.3000 -4.0109 -0.1824 3.655e-05 0.5000 0.6824 3.4000e-09 2.5449 -1.220e-02
