vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.874e-11 0. -3.4565 20.1391 -5.9869 -7.912e-07 0. 1.724e-12 -2.255e-10 15.0928 -7.912e-07 2.756e-23 0.40000 -1.055e-08 -2.255e-10 -7.942e-05
0.4 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.424e-11 0. -3.4565 20.1390 -5.9869 -1.024e-06 0. 2.230e-12 -2.918e-10 15.0927 -1.024e-06 2.809e-23 0.40000 -1.364e-08 -2.918e-10 7.075e-03
0.4 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.126e-11 0. -3.4565 20.1390 -5.9869 -1.320e-06 0. 2.876e-12 -3.762e-10 15.0927 -1.320e-06 2.869e-23 0.40000 -1.759e-08 -3.762e-10 1.414e-02
0.4 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.033e-11 0. -3.4565 20.1390 -5.9869 -1.703e-06 0. 3.710e-12 -4.854e-10 15.0927 -1.703e-06 2.941e-23 0.40000 -2.269e-08 -4.854e-10 2.122e-02
0.4 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.206e-11 0. -3.4565 20.1400 -5.9869 -2.198e-06 0. 4.790e-12 -6.258e-10 15.0937 -2.198e-06 3.027e-23 0.40000 -2.929e-08 -6.258e-10 2.831e-02
0.4 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.706e-11 0. -3.4565 20.1390 -5.9869 -2.831e-06 0. 6.170e-12 -8.071e-10 15.0927 -2.831e-06 3.129e-23 0.40000 -3.774e-08 -8.071e-10 3.535e-02
0.4 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.647e-11 0. -3.4565 20.1394 -5.9869 -3.651e-06 0. 7.955e-12 -1.040e-09 15.0931 -3.651e-06 3.255e-23 0.40000 -4.865e-08 -1.040e-09 4.241e-02
0.4 0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.116e-10 0. -3.4565 20.1390 -5.9869 -4.712e-06 0. 1.027e-11 -1.343e-09 15.0927 -4.712e-06 3.412e-23 0.40000 -6.281e-08 -1.343e-09 4.951e-02
0.4 0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.438e-10 0. -3.4565 20.1390 -5.9869 -6.072e-06 0. 1.323e-11 -1.731e-09 15.0927 -6.072e-06 3.606e-23 0.40000 -8.092e-08 -1.731e-09 5.655e-02
0.4 0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.850e-10 0. -3.4565 20.1385 -5.9869 -7.811e-06 0. 1.702e-11 -2.228e-09 15.0922 -7.812e-06 3.847e-23 0.40000 -1.041e-07 -2.228e-09 6.356e-02
