vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.623e-10 0. -4.886e-05 0. 7.933e-11 5.0000e-02 -8.806e-06 -8.276e-06
0.7 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.004e-09 0. -7.286e-05 0. 1.844e-10 0.70000 -9.579e-07 -7.395e-09
0.05 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.114e-09 0. -6.311e-05 0. 1.025e-10 5.0000e-02 -1.138e-05 -1.070e-05
0.7 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.594e-09 0. -9.430e-05 0. 2.386e-10 0.70000 -1.240e-06 -9.571e-09
0.05 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.437e-09 0. -8.141e-05 0. 1.322e-10 5.0000e-02 -1.468e-05 -1.380e-05
0.7 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.340e-09 0. -1.214e-04 0. 3.073e-10 0.70000 -1.596e-06 -1.232e-08
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.854e-09 0. -1.050e-04 0. 1.705e-10 5.0000e-02 -1.895e-05 -1.782e-05
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.304e-09 0. -1.564e-04 0. 3.960e-10 0.70000 -2.057e-06 -1.588e-08
0.05 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.394e-09 0. -1.356e-04 0. 2.202e-10 5.0000e-02 -2.447e-05 -2.300e-05
0.7 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.554e-09 0. -2.019e-04 0. 5.110e-10 0.70000 -2.654e-06 -2.050e-08
0.05 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.087e-09 0. -1.749e-04 0. 2.840e-10 5.0000e-02 -3.156e-05 -2.967e-05
0.7 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.147e-09 0. -2.597e-04 0. 6.575e-10 0.70000 -3.414e-06 -2.637e-08
0.05 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.985e-09 0. -2.257e-04 0. 3.667e-10 5.0000e-02 -4.074e-05 -3.830e-05
0.7 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.188e-09 0. -3.337e-04 0. 8.453e-10 0.70000 -4.387e-06 -3.390e-08
0.05 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.142e-09 0. -2.912e-04 0. 4.731e-10 5.0000e-02 -5.258e-05 -4.942e-05
0.7 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.187e-08 0. -4.310e-04 0. 1.092e-09 0.70000 -5.667e-06 -4.380e-08
0.05 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.634e-09 0. -3.756e-04 0. 6.104e-10 5.0000e-02 -6.785e-05 -6.378e-05
0.7 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.528e-08 0. -5.547e-04 0. 1.406e-09 0.70000 -7.292e-06 -5.638e-08
0.05 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.558e-09 0. -4.843e-04 0. 7.873e-10 5.0000e-02 -8.754e-05 -8.230e-05
0.7 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.969e-08 0. -7.141e-04 0. 1.811e-09 0.70000 -9.389e-06 -7.265e-08
0.05 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.104e-08 0. -6.245e-04 0. 1.016e-09 5.0000e-02 -1.130e-04 -1.062e-04
0.7 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.508e-08 0. -9.091e-04 0. 2.307e-09 0.70000 -1.195e-05 -9.258e-08
0.05 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.424e-08 0. -8.049e-04 0. 1.310e-09 5.0000e-02 -1.458e-04 -1.371e-04
0.7 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.264e-08 0. -1.182e-03 0. 3.003e-09 0.70000 -1.554e-05 -1.204e-07
0.05 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.836e-08 0. -1.037e-03 0. 1.689e-09 5.0000e-02 -1.881e-04 -1.768e-04
0.7 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.185e-08 0. -1.514e-03 0. 3.850e-09 0.70000 -1.990e-05 -1.545e-07
0.05 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.365e-08 0. -1.335e-03 0. 2.176e-09 5.0000e-02 -2.426e-04 -2.281e-04
0.7 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.408e-08 0. -1.953e-03 0. 4.975e-09 0.70000 -2.568e-05 -1.996e-07
0.05 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.049e-08 0. -1.719e-03 0. 2.805e-09 5.0000e-02 -3.129e-04 -2.943e-04
0.7 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.953e-08 0. -2.507e-03 0. 6.396e-09 0.70000 -3.296e-05 -2.566e-07
0.05 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.928e-08 0. -2.211e-03 0. 3.613e-09 5.0000e-02 -4.035e-04 -3.796e-04
