vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.120e-11 -3.803e-04 -3.5030 13.1451 -6.0673 -1.407e-06 -3.804e-04 -1.950e-12 -2.924e-07 1.6394 -1.407e-06 -2.173e-23 -5.0000e-02 -3.069e-07 -2.924e-07 -2.287e-06
-0.05 -0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.656e-11 -3.803e-04 -3.5030 13.1452 -6.0673 -1.763e-06 -3.804e-04 -2.444e-12 -3.663e-07 1.6395 -1.763e-06 -2.246e-23 -5.0000e-02 -3.846e-07 -3.663e-07 7.069e-03
-0.05 -0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.329e-11 -3.803e-04 -3.5030 13.1453 -6.0673 -2.209e-06 -3.805e-04 -3.063e-12 -4.590e-07 1.6396 -2.209e-06 -2.332e-23 -5.0000e-02 -4.819e-07 -4.590e-07 1.414e-02
-0.05 -0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.171e-11 -3.803e-04 -3.5030 13.1452 -6.0673 -2.768e-06 -3.805e-04 -3.837e-12 -5.753e-07 1.6395 -2.768e-06 -2.435e-23 -5.0000e-02 -6.039e-07 -5.753e-07 2.121e-02
-0.05 -0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.227e-11 -3.803e-04 -3.5030 13.1451 -6.0673 -3.469e-06 -3.806e-04 -4.809e-12 -7.210e-07 1.6394 -3.469e-06 -2.559e-23 -5.0000e-02 -7.568e-07 -7.210e-07 2.828e-02
-0.05 -0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.549e-11 -3.803e-04 -3.5030 13.1448 -6.0673 -4.346e-06 -3.806e-04 -6.025e-12 -9.036e-07 1.6391 -4.347e-06 -2.710e-23 -5.0000e-02 -9.485e-07 -9.036e-07 3.535e-02
-0.05 -0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.209e-11 -3.804e-04 -3.5030 13.1450 -6.0673 -5.448e-06 -3.807e-04 -7.552e-12 -1.132e-06 1.6393 -5.448e-06 -2.894e-23 -5.0000e-02 -1.189e-06 -1.132e-06 4.243e-02
-0.05 -0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.028e-10 -3.804e-04 -3.5030 13.1451 -6.0673 -6.823e-06 -3.809e-04 -9.458e-12 -1.418e-06 1.6394 -6.823e-06 -3.118e-23 -5.0000e-02 -1.489e-06 -1.418e-06 4.948e-02
-0.05 -0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.289e-10 -3.804e-04 -3.5030 13.1451 -6.0673 -8.553e-06 -3.810e-04 -1.186e-11 -1.778e-06 1.6394 -8.553e-06 -3.397e-23 -5.0000e-02 -1.866e-06 -1.778e-06 5.657e-02
-0.05 -0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.615e-10 -3.805e-04 -3.5030 13.1450 -6.0673 -1.072e-05 -3.812e-04 -1.486e-11 -2.228e-06 1.6393 -1.072e-05 -3.740e-23 -5.0000e-02 -2.339e-06 -2.228e-06 6.364e-02
-0.05 -0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.023e-10 -3.805e-04 -3.5030 13.1447 -6.0673 -1.342e-05 -3.814e-04 -1.861e-11 -2.791e-06 1.6390 -1.343e-05 -4.165e-23 -5.0000e-02 -2.930e-06 -2.791e-06 7.069e-02
-0.05 -0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.534e-10 -3.806e-04 -3.5030 13.1449 -6.0673 -1.682e-05 -3.817e-04 -2.331e-11 -3.496e-06 1.6392 -1.682e-05 -4.692e-23 -5.0000e-02 -3.670e-06 -3.496e-06 7.775e-02
-0.05 -0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.178e-10 -3.806e-04 -3.5030 13.1451 -6.0673 -2.109e-05 -3.821e-04 -2.923e-11 -4.383e-06 1.6394 -2.109e-05 -5.352e-23 -5.0000e-02 -4.601e-06 -4.383e-06 8.485e-02
-0.05 -0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.981e-10 -3.807e-04 -3.5030 13.1452 -6.0673 -2.642e-05 -3.826e-04 -3.663e-11 -5.491e-06 1.6395 -2.642e-05 -6.171e-23 -5.0000e-02 -5.764e-06 -5.491e-06 9.192e-02
-0.05 -0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.990e-10 -3.809e-04 -3.5030 13.1453 -6.0673 -3.311e-05 -3.832e-04 -4.591e-11 -6.881e-06 1.6396 -3.312e-05 -7.193e-23 -5.0000e-02 -7.223e-06 -6.881e-06 9.899e-02
-0.05 -0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.251e-10 -3.810e-04 -3.5030 13.1450 -6.0673 -4.148e-05 -3.839e-04 -5.751e-11 -8.624e-06 1.6394 -4.149e-05 -8.469e-23 -5.0000e-02 -9.052e-06 -8.623e-06 0.1061
-0.05 -0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.833e-10 -3.812e-04 -3.5030 13.1452 -6.0673 -5.198e-05 -3.848e-04 -7.206e-11 -1.080e-05 1.6395 -5.199e-05 -1.006e-22 -5.0000e-02 -1.134e-05 -1.080e-05 0.1131
-0.05 -0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.818e-10 -3.814e-04 -3.5030 13.1459 -6.0673 -6.513e-05 -3.860e-04 -9.032e-11 -1.353e-05 1.6402 -6.515e-05 -1.206e-22 -5.0000e-02 -1.420e-05 -1.353e-05 0.1202
-0.05 -0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.230e-09 -3.818e-04 -3.5030 13.1452 -6.0673 -8.162e-05 -3.874e-04 -1.132e-10 -1.697e-05 1.6395 -8.164e-05 -1.455e-22 -5.0000e-02 -1.781e-05 -1.697e-05 0.1273
-0.05 -0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.542e-09 -3.821e-04 -3.5030 13.1451 -6.0673 -1.023e-04 -3.893e-04 -1.418e-10 -2.127e-05 1.6395 -1.023e-04 -1.768e-22 -5.0000e-02 -2.232e-05 -2.127e-05 0.1343
-0.05 -0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.932e-09 -3.826e-04 -3.5030 13.1460 -6.0673 -1.281e-04 -3.915e-04 -1.778e-10 -2.662e-05 1.6404 -1.282e-04 -2.158e-22 -5.0000e-02 -2.794e-05 -2.662e-05 0.1414
-0.05 -0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.419e-09 -3.832e-04 -3.5030 13.1449 -6.0673 -1.604e-04 -3.944e-04 -2.225e-10 -3.338e-05 1.6392 -1.605e-04 -2.646e-22 -5.0000e-02 -3.503e-05 -3.337e-05 0.1485
-0.05 -0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.033e-09 -3.839e-04 -3.5030 13.1451 -6.0673 -2.011e-04 -3.979e-04 -2.790e-10 -4.184e-05 1.6394 -2.013e-04 -3.259e-22 -5.0000e-02 -4.391e-05 -4.183e-05 0.1556
-0.05 -0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.800e-09 -3.849e-04 -3.5030 13.1452 -6.0673 -2.520e-04 -4.024e-04 -3.496e-10 -5.242e-05 1.6395 -2.522e-04 -4.025e-22 -5.0000e-02 -5.502e-05 -5.241e-05 0.1626
-0.05 -0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.759e-09 -3.860e-04 -3.5030 13.1451 -6.0673 -3.155e-04 -4.080e-04 -4.378e-10 -6.566e-05 1.6394 -3.159e-04 -4.982e-22 -5.0000e-02 -6.890e-05 -6.564e-05 0.1697
-0.05 -0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.959e-09 -3.875e-04 -3.5030 13.1445 -6.0673 -3.950e-04 -4.150e-04 -5.483e-10 -8.228e-05 1.6388 -3.956e-04 -6.180e-22 -5.0000e-02 -8.634e-05 -8.225e-05 0.1767
-0.05 -0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.476e-09 -3.893e-04 -3.5030 13.1451 -6.0673 -4.954e-04 -4.238e-04 -6.878e-10 -1.032e-04 1.6395 -4.962e-04 -7.690e-22 -5.0000e-02 -1.082e-04 -1.031e-04 0.1838
-0.05 -0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.368e-09 -3.916e-04 -3.5030 13.1452 -6.0673 -6.204e-04 -4.348e-04 -8.618e-10 -1.293e-04 1.6395 -6.218e-04 -9.573e-22 -5.0000e-02 -1.356e-04 -1.292e-04 0.1909
-0.05 -0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.174e-08 -3.945e-04 -3.5030 13.1452 -6.0673 -7.770e-04 -4.486e-04 -1.080e-09 -1.620e-04 1.6395 -7.791e-04 -1.193e-21 -5.0000e-02 -1.699e-04 -1.619e-04 0.1980
-0.05 -0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.471e-08 -3.981e-04 -3.5030 13.1451 -6.0673 -9.728e-04 -4.658e-04 -1.353e-09 -2.030e-04 1.6394 -9.761e-04 -1.488e-21 -5.0000e-02 -2.129e-04 -2.028e-04 0.2050
-0.05 -0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.843e-08 -4.026e-04 -3.5030 13.1452 -6.0673 -1.218e-03 -4.873e-04 -1.695e-09 -2.543e-04 1.6395 -1.223e-03 -1.857e-21 -5.0000e-02 -2.666e-04 -2.541e-04 0.2121
-0.05 -0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.307e-08 -4.082e-04 -3.5030 13.1454 -6.0673 -1.523e-03 -5.142e-04 -2.123e-09 -3.184e-04 1.6397 -1.531e-03 -2.317e-21 -5.0000e-02 -3.338e-04 -3.180e-04 0.2192
-0.05 -0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.893e-08 -4.153e-04 -3.5030 13.1452 -6.0673 -1.908e-03 -5.480e-04 -2.661e-09 -3.993e-04 1.6395 -1.920e-03 -2.897e-21 -5.0000e-02 -4.185e-04 -3.988e-04 0.2263
-0.05 -0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.624e-08 -4.242e-04 -3.5030 13.1451 -6.0673 -2.387e-03 -5.901e-04 -3.334e-09 -5.005e-04 1.6394 -2.406e-03 -3.619e-21 -5.0000e-02 -5.242e-04 -4.996e-04 0.2333
-0.05 -0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.539e-08 -4.352e-04 -3.5030 13.1452 -6.0673 -2.984e-03 -6.425e-04 -4.175e-09 -6.268e-04 1.6395 -3.013e-03 -4.519e-21 -5.0000e-02 -6.562e-04 -6.254e-04 0.2404
-0.05 -0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.686e-08 -4.491e-04 -3.5030 13.1455 -6.0673 -3.729e-03 -7.081e-04 -5.231e-09 -7.851e-04 1.6398 -3.774e-03 -5.645e-21 -5.0000e-02 -8.214e-04 -7.830e-04 0.2475
-0.05 -0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.123e-08 -4.665e-04 -3.5030 13.1453 -6.0673 -4.660e-03 -7.899e-04 -6.553e-09 -9.840e-04 1.6396 -4.727e-03 -7.051e-21 -5.0000e-02 -1.029e-03 -9.806e-04 0.2545
