vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.7 -0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.048e-09 0. -3.4818 19.8278 -6.0307 -2.336e-04 0. -5.564e-10 -5.734e-08 14.8944 -2.339e-04 -3.157e-22 -0.70000 -3.104e-06 -5.734e-08 0.1484
-0.7 -0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.541e-09 0. -3.4818 19.8279 -6.0307 -2.912e-04 0. -6.938e-10 -7.151e-08 14.8944 -2.917e-04 -3.881e-22 -0.70000 -3.870e-06 -7.151e-08 0.1553
-0.7 -0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.508e-09 0. -3.4818 19.8282 -6.0307 -3.670e-04 0. -8.747e-10 -9.014e-08 14.8948 -3.678e-04 -4.832e-22 -0.70000 -4.878e-06 -9.014e-08 0.1626
-0.7 -0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.176e-08 0. -3.4818 19.8283 -6.0307 -4.541e-04 0. -1.082e-09 -1.116e-07 14.8949 -4.553e-04 -5.924e-22 -0.70000 -6.034e-06 -1.116e-07 0.1694
-0.7 -0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.489e-08 0. -3.4818 19.8290 -6.0307 -5.742e-04 0. -1.370e-09 -1.411e-07 14.8955 -5.762e-04 -7.432e-22 -0.70000 -7.631e-06 -1.411e-07 0.1768
-0.7 -0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.859e-08 0. -3.4818 19.8296 -6.0307 -7.167e-04 0. -1.710e-09 -1.762e-07 14.8961 -7.198e-04 -9.219e-22 -0.70000 -9.525e-06 -1.762e-07 0.1838
-0.7 -0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.335e-08 0. -3.4818 19.8304 -6.0307 -8.996e-04 0. -2.148e-09 -2.213e-07 14.8970 -9.045e-04 -1.151e-21 -0.70000 -1.196e-05 -2.213e-07 0.1910
-0.7 -0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.909e-08 0. -3.4818 19.8310 -6.0307 -1.120e-03 0. -2.676e-09 -2.758e-07 14.8976 -1.128e-03 -1.428e-21 -0.70000 -1.489e-05 -2.758e-07 0.1980
-0.7 -0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.637e-08 0. -3.4818 19.8322 -6.0307 -1.399e-03 0. -3.346e-09 -3.447e-07 14.8988 -1.411e-03 -1.778e-21 -0.70000 -1.860e-05 -3.447e-07 0.2051
-0.7 -0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.583e-08 0. -3.4818 19.8333 -6.0307 -1.761e-03 0. -4.217e-09 -4.345e-07 14.8999 -1.780e-03 -2.232e-21 -0.70000 -2.341e-05 -4.345e-07 0.2124
