vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.05 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.466e-10 -3.804e-04 -3.4664 13.7803 -6.0040 -8.310e-06 -3.810e-04 1.349e-11 -1.408e-06 1.3153 -8.311e-06 4.114e-23 5.0000e-02 -1.498e-06 -1.408e-06 7.070e-02
0.7 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.454e-10 -3.803e-04 -3.4469 21.1438 -5.9702 -1.256e-05 -3.814e-04 3.178e-11 -1.274e-09 8.7409 -1.256e-05 4.464e-23 0.70000 -1.651e-07 -1.274e-09 7.071e-02
0.05 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.891e-10 -3.804e-04 -3.4664 13.7802 -6.0040 -1.072e-05 -3.812e-04 1.740e-11 -1.817e-06 1.3152 -1.072e-05 4.490e-23 5.0000e-02 -1.933e-06 -1.817e-06 7.775e-02
0.7 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.452e-10 -3.803e-04 -3.4469 21.1438 -5.9702 -1.619e-05 -3.817e-04 4.096e-11 -1.643e-09 8.7409 -1.619e-05 4.945e-23 0.70000 -2.128e-07 -1.643e-09 7.779e-02
0.05 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.442e-10 -3.805e-04 -3.4664 13.7806 -6.0040 -1.384e-05 -3.815e-04 2.247e-11 -2.345e-06 1.3156 -1.384e-05 4.971e-23 5.0000e-02 -2.495e-06 -2.345e-06 8.484e-02
0.7 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.736e-10 -3.803e-04 -3.4469 21.1438 -5.9702 -2.086e-05 -3.821e-04 5.277e-11 -2.116e-09 8.7410 -2.086e-05 5.557e-23 0.70000 -2.742e-07 -2.116e-09 8.485e-02
0.05 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.154e-10 -3.805e-04 -3.4664 13.7804 -6.0040 -1.787e-05 -3.818e-04 2.901e-11 -3.029e-06 1.3154 -1.787e-05 5.586e-23 5.0000e-02 -3.222e-06 -3.029e-06 9.192e-02
0.7 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.392e-10 -3.803e-04 -3.4469 21.1438 -5.9702 -2.688e-05 -3.827e-04 6.801e-11 -2.727e-09 8.7410 -2.688e-05 6.340e-23 0.70000 -3.534e-07 -2.727e-09 9.192e-02
0.05 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.069e-10 -3.806e-04 -3.4664 13.7805 -6.0040 -2.306e-05 -3.823e-04 3.744e-11 -3.908e-06 1.3155 -2.306e-05 6.370e-23 5.0000e-02 -4.157e-06 -3.908e-06 9.899e-02
0.7 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.521e-10 -3.803e-04 -3.4469 21.1438 -5.9702 -3.462e-05 -3.834e-04 8.759e-11 -3.513e-09 8.7410 -3.463e-05 7.341e-23 0.70000 -4.552e-07 -3.513e-09 9.897e-02
0.05 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.253e-10 -3.807e-04 -3.4664 13.7806 -6.0040 -2.977e-05 -3.829e-04 4.833e-11 -5.044e-06 1.3156 -2.977e-05 7.378e-23 5.0000e-02 -5.366e-06 -5.044e-06 0.1061
0.7 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.228e-09 -3.803e-04 -3.4469 21.1439 -5.9702 -4.465e-05 -3.842e-04 1.130e-10 -4.530e-09 8.7411 -4.465e-05 8.630e-23 0.70000 -5.870e-07 -4.530e-09 0.1061
0.05 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.778e-10 -3.808e-04 -3.4664 13.7805 -6.0040 -3.842e-05 -3.837e-04 6.236e-11 -6.510e-06 1.3155 -3.842e-05 8.671e-23 5.0000e-02 -6.926e-06 -6.509e-06 0.1131
0.7 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.576e-09 -3.803e-04 -3.4469 21.1436 -5.9702 -5.730e-05 -3.854e-04 1.450e-10 -5.815e-09 8.7408 -5.731e-05 1.025e-22 0.70000 -7.533e-07 -5.815e-09 0.1130
0.05 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.743e-10 -3.810e-04 -3.4664 13.7810 -6.0040 -4.954e-05 -3.847e-04 8.044e-11 -8.391e-06 1.3161 -4.955e-05 1.033e-22 5.0000e-02 -8.928e-06 -8.391e-06 0.1202
0.7 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.039e-09 -3.803e-04 -3.4469 21.1440 -5.9702 -7.415e-05 -3.869e-04 1.876e-10 -7.523e-09 8.7412 -7.417e-05 1.240e-22 0.70000 -9.748e-07 -7.523e-09 0.1202
0.05 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.129e-09 -3.812e-04 -3.4664 13.7805 -6.0040 -6.399e-05 -3.859e-04 1.039e-10 -1.084e-05 1.3155 -6.400e-05 1.247e-22 5.0000e-02 -1.154e-05 -1.084e-05 0.1273
0.7 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.626e-09 -3.803e-04 -3.4469 21.1441 -5.9702 -9.549e-05 -3.888e-04 2.416e-10 -9.688e-09 8.7413 -9.552e-05 1.512e-22 0.70000 -1.255e-06 -9.688e-09 0.1273
0.05 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.457e-09 -3.815e-04 -3.4664 13.7805 -6.0040 -8.257e-05 -3.876e-04 1.341e-10 -1.399e-05 1.3155 -8.260e-05 1.523e-22 5.0000e-02 -1.489e-05 -1.399e-05 0.1343
0.7 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.397e-09 -3.803e-04 -3.4469 21.1442 -5.9702 -1.235e-04 -3.913e-04 3.126e-10 -1.253e-08 8.7413 -1.236e-04 1.869e-22 0.70000 -1.624e-06 -1.253e-08 0.1344
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.880e-09 -3.819e-04 -3.4664 13.7805 -6.0040 -1.065e-04 -3.897e-04 1.730e-10 -1.806e-05 1.3156 -1.066e-04 1.877e-22 5.0000e-02 -1.921e-05 -1.805e-05 0.1414
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.346e-09 -3.803e-04 -3.4469 21.1440 -5.9702 -1.580e-04 -3.944e-04 3.999e-10 -1.604e-08 8.7411 -1.581e-04 2.308e-22 0.70000 -2.077e-06 -1.604e-08 0.1413
0.05 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.427e-09 -3.823e-04 -3.4664 13.7806 -6.0040 -1.375e-04 -3.925e-04 2.233e-10 -2.331e-05 1.3156 -1.376e-04 2.335e-22 5.0000e-02 -2.480e-05 -2.331e-05 0.1485
0.7 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.625e-09 -3.803e-04 -3.4469 21.1445 -5.9702 -2.045e-04 -3.985e-04 5.175e-10 -2.075e-08 8.7416 -2.046e-04 2.897e-22 0.70000 -2.688e-06 -2.075e-08 0.1485
0.05 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.132e-09 -3.829e-04 -3.4664 13.7804 -6.0040 -1.775e-04 -3.960e-04 2.882e-10 -3.009e-05 1.3155 -1.776e-04 2.925e-22 5.0000e-02 -3.201e-05 -3.009e-05 0.1556
0.7 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.249e-09 -3.803e-04 -3.4469 21.1460 -5.9701 -2.634e-04 -4.038e-04 6.669e-10 -2.669e-08 8.7432 -2.636e-04 3.644e-22 0.70000 -3.462e-06 -2.669e-08 0.1555
0.05 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.042e-09 -3.837e-04 -3.4664 13.7805 -6.0040 -2.290e-04 -4.006e-04 3.719e-10 -3.884e-05 1.3155 -2.292e-04 3.685e-22 5.0000e-02 -4.131e-05 -3.883e-05 0.1626
