vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0757575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.760e-10 -3.804e-04 -9.973e-06 -3.811e-04 1.619e-11 5.0000e-02 -1.798e-06 -1.690e-06
0.5 0.0757575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.271e-10 -3.803e-04 -1.314e-05 -3.814e-04 3.009e-11 0.50000 -1.736e-07 -2.250e-09
0.05 0.0808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.111e-10 -3.804e-04 -1.197e-05 -3.813e-04 1.943e-11 5.0000e-02 -2.157e-06 -2.028e-06
0.5 0.0808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.922e-10 -3.803e-04 -1.576e-05 -3.817e-04 3.608e-11 0.50000 -2.082e-07 -2.698e-09
0.05 0.0858585858586 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.533e-10 -3.805e-04 -1.436e-05 -3.815e-04 2.330e-11 5.0000e-02 -2.589e-06 -2.433e-06
0.5 0.0858585858586 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.702e-10 -3.803e-04 -1.889e-05 -3.819e-04 4.326e-11 0.50000 -2.496e-07 -3.235e-09
0.05 0.0909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.040e-10 -3.805e-04 -1.723e-05 -3.818e-04 2.797e-11 5.0000e-02 -3.105e-06 -2.919e-06
0.5 0.0909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.655e-10 -3.803e-04 -2.272e-05 -3.823e-04 5.202e-11 0.50000 -3.002e-07 -3.890e-09
0.05 0.0959595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.648e-10 -3.806e-04 -2.067e-05 -3.821e-04 3.356e-11 5.0000e-02 -3.727e-06 -3.503e-06
0.5 0.0959595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.761e-10 -3.803e-04 -2.716e-05 -3.827e-04 6.220e-11 0.50000 -3.590e-07 -4.652e-09
0.05 0.10101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.377e-10 -3.806e-04 -2.481e-05 -3.825e-04 4.027e-11 5.0000e-02 -4.472e-06 -4.203e-06
0.5 0.10101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.108e-10 -3.803e-04 -3.257e-05 -3.832e-04 7.459e-11 0.50000 -4.305e-07 -5.578e-09
0.05 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.252e-10 -3.807e-04 -2.976e-05 -3.829e-04 4.832e-11 5.0000e-02 -5.365e-06 -5.043e-06
0.5 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.722e-10 -3.803e-04 -3.905e-05 -3.837e-04 8.944e-11 0.50000 -5.161e-07 -6.688e-09
0.05 0.111111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.302e-10 -3.808e-04 -3.571e-05 -3.834e-04 5.798e-11 5.0000e-02 -6.439e-06 -6.052e-06
0.5 0.111111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.166e-09 -3.803e-04 -4.683e-05 -3.844e-04 1.072e-10 0.50000 -6.189e-07 -8.019e-09
0.05 0.116161616162 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.564e-10 -3.809e-04 -4.287e-05 -3.841e-04 6.959e-11 5.0000e-02 -7.732e-06 -7.267e-06
0.5 0.116161616162 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.396e-09 -3.803e-04 -5.608e-05 -3.853e-04 1.284e-10 0.50000 -7.411e-07 -9.604e-09
0.05 0.121212121212 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.072e-10 -3.810e-04 -5.142e-05 -3.848e-04 8.347e-11 5.0000e-02 -9.271e-06 -8.713e-06
0.5 0.121212121212 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.678e-09 -3.803e-04 -6.738e-05 -3.863e-04 1.543e-10 0.50000 -8.905e-07 -1.153e-08
0.05 0.126262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.089e-09 -3.812e-04 -6.170e-05 -3.857e-04 1.002e-10 5.0000e-02 -1.112e-05 -1.046e-05
0.5 0.126262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.010e-09 -3.803e-04 -8.074e-05 -3.875e-04 1.849e-10 0.50000 -1.067e-06 -1.384e-08
0.05 0.131313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.306e-09 -3.814e-04 -7.403e-05 -3.868e-04 1.202e-10 5.0000e-02 -1.335e-05 -1.255e-05
