vd vg vs vb l alpha1_p alpha11_p t_fe ni in1aux vfed qid vn2aux in2aux vfes ids qmis vn1aux sweepvar vtm
0.05 0.591836734694 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2209 0. -64.4724 0. -6.783e-08 8.1796 -7.677e-17 5.0000e-02 2.586e-02
0.05 0.612244897959 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2409 0. -64.4724 0. -9.686e-08 8.8227 -8.090e-17 5.0000e-02 2.586e-02
0.05 0.632653061224 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2609 0. -64.4724 0. -1.271e-07 9.4740 -8.194e-17 5.0000e-02 2.586e-02
0.05 0.65306122449 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2810 0. -64.4724 0. -1.583e-07 10.1327 -9.304e-17 5.0000e-02 2.586e-02
0.05 0.673469387755 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3012 0. -64.4724 0. -1.901e-07 10.7981 -9.375e-17 5.0000e-02 2.586e-02
0.05 0.69387755102 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3213 0. -64.4724 0. -2.225e-07 11.4697 -9.444e-17 5.0000e-02 2.586e-02
0.05 0.714285714286 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3415 0. -64.4724 0. -2.553e-07 12.1468 -1.032e-16 5.0000e-02 2.586e-02
0.05 0.734693877551 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3618 0. -64.4724 0. -2.883e-07 12.8291 -1.037e-16 5.0000e-02 2.586e-02
0.05 0.755102040816 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3820 0. -64.4724 0. -3.214e-07 13.5161 -1.069e-16 5.0000e-02 2.586e-02
0.05 0.775510204082 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4023 0. -64.4724 0. -3.545e-07 14.2074 -1.125e-16 5.0000e-02 2.586e-02
0.05 0.795918367347 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4226 0. -64.4724 0. -3.876e-07 14.9027 -1.114e-16 5.0000e-02 2.586e-02
0.05 0.816326530612 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4429 0. -64.4724 0. -4.205e-07 15.6018 -1.168e-16 5.0000e-02 2.586e-02
0.05 0.836734693878 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4631 0. -64.4724 0. -4.533e-07 16.3043 -1.264e-16 5.0000e-02 2.586e-02
0.05 0.857142857143 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4835 0. -64.4724 0. -4.858e-07 17.0100 -1.319e-16 5.0000e-02 2.586e-02
0.05 0.877551020408 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5038 0. -64.4724 0. -5.180e-07 17.7188 -1.349e-16 5.0000e-02 2.586e-02
0.05 0.897959183673 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5241 0. -64.4724 0. -5.499e-07 18.4303 -1.389e-16 5.0000e-02 2.586e-02
0.05 0.918367346939 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5444 0. -64.4724 0. -5.814e-07 19.1444 -1.444e-16 5.0000e-02 2.586e-02
0.05 0.938775510204 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5648 0. -64.4724 0. -6.126e-07 19.8610 -1.431e-16 5.0000e-02 2.586e-02
0.05 0.959183673469 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5851 0. -64.4724 0. -6.434e-07 20.5799 -1.427e-16 5.0000e-02 2.586e-02
0.05 0.979591836735 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.6054 0. -64.4724 0. -6.738e-07 21.3010 -1.495e-16 5.0000e-02 2.586e-02
0.05 1.0 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.6258 0. -64.4724 0. -7.038e-07 22.0241 -1.535e-16 5.0000e-02 2.586e-02
0.05 1.0 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.6258 0. -64.4724 0. -7.038e-07 22.0241 -1.597e-16 5.0000e-02 2.586e-02
0.05 0.979591836735 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.6054 0. -64.4724 0. -6.738e-07 21.3010 -1.542e-16 5.0000e-02 2.586e-02
0.05 0.959183673469 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5851 0. -64.4724 0. -6.434e-07 20.5799 -1.399e-16 5.0000e-02 2.586e-02
0.05 0.938775510204 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5648 0. -64.4724 0. -6.126e-07 19.8610 -1.413e-16 5.0000e-02 2.586e-02
0.05 0.918367346939 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5444 0. -64.4724 0. -5.814e-07 19.1444 -1.345e-16 5.0000e-02 2.586e-02
0.05 0.897959183673 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5241 0. -64.4724 0. -5.499e-07 18.4303 -1.347e-16 5.0000e-02 2.586e-02
0.05 0.877551020408 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.5038 0. -64.4724 0. -5.180e-07 17.7188 -1.264e-16 5.0000e-02 2.586e-02
0.05 0.857142857143 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4835 0. -64.4724 0. -4.858e-07 17.0100 -1.319e-16 5.0000e-02 2.586e-02
0.05 0.836734693878 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4631 0. -64.4724 0. -4.533e-07 16.3043 -1.264e-16 5.0000e-02 2.586e-02
0.05 0.816326530612 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4429 0. -64.4724 0. -4.205e-07 15.6018 -1.222e-16 5.0000e-02 2.586e-02
0.05 0.795918367347 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4226 0. -64.4724 0. -3.876e-07 14.9027 -1.139e-16 5.0000e-02 2.586e-02
0.05 0.775510204082 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.4023 0. -64.4724 0. -3.545e-07 14.2074 -1.087e-16 5.0000e-02 2.586e-02
0.05 0.755102040816 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3820 0. -64.4724 0. -3.214e-07 13.5161 -1.053e-16 5.0000e-02 2.586e-02
0.05 0.734693877551 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3618 0. -64.4724 0. -2.883e-07 12.8291 -1.042e-16 5.0000e-02 2.586e-02
0.05 0.714285714286 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3415 0. -64.4724 0. -2.553e-07 12.1468 -9.931e-17 5.0000e-02 2.586e-02
0.05 0.69387755102 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3213 0. -64.4724 0. -2.225e-07 11.4697 -9.588e-17 5.0000e-02 2.586e-02
0.05 0.673469387755 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.3012 0. -64.4724 0. -1.901e-07 10.7981 -9.520e-17 5.0000e-02 2.586e-02
0.05 0.65306122449 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2810 0. -64.4724 0. -1.583e-07 10.1327 -8.681e-17 5.0000e-02 2.586e-02
0.05 0.632653061224 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2609 0. -64.4724 0. -1.271e-07 9.4740 -8.487e-17 5.0000e-02 2.586e-02
0.05 0.612244897959 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2409 0. -64.4724 0. -9.686e-08 8.8227 -8.487e-17 5.0000e-02 2.586e-02
0.05 0.591836734694 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2209 0. -64.4724 0. -6.783e-08 8.1796 -7.431e-17 5.0000e-02 2.586e-02
0.05 0.571428571429 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2010 0. -64.4724 0. -4.030e-08 7.5456 -7.274e-17 5.0000e-02 2.586e-02
0.05 0.551020408163 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1813 0. -64.4724 0. -1.464e-08 6.9217 -6.861e-17 5.0000e-02 2.586e-02
0.05 0.530612244898 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1617 0. -64.4724 0. 8.720e-09 6.3091 -6.008e-17 5.0000e-02 2.586e-02
0.05 0.510204081633 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1424 0. -64.4724 0. 2.930e-08 5.7091 -5.972e-17 5.0000e-02 2.586e-02
0.05 0.489795918367 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1235 0. -64.4724 0. 4.659e-08 5.1234 -5.590e-17 5.0000e-02 2.586e-02
0.05 0.469387755102 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1050 0. -64.4724 0. 6.002e-08 4.5536 -4.823e-17 5.0000e-02 2.586e-02
0.05 0.448979591837 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 8.724e-02 0. -64.4724 0. 6.909e-08 4.0019 -5.256e-17 5.0000e-02 2.586e-02
0.05 0.428571428571 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 7.038e-02 0. -64.4724 0. 7.340e-08 3.4706 -4.687e-17 5.0000e-02 2.586e-02
0.05 0.408163265306 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 5.475e-02 0. -64.4724 0. 7.282e-08 2.9623 -4.167e-17 5.0000e-02 2.586e-02
0.05 0.387755102041 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.075e-02 0. -64.4724 0. 6.764e-08 2.4801 -3.397e-17 5.0000e-02 2.586e-02
0.05 0.367346938776 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.875e-02 0. -64.4724 0. 5.871e-08 2.0274 -3.056e-17 5.0000e-02 2.586e-02
0.05 0.34693877551 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.908e-02 0. -64.4724 0. 4.742e-08 1.6085 -2.699e-17 5.0000e-02 2.586e-02
0.05 0.326530612245 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.184e-02 0. -64.4724 0. 3.550e-08 1.2286 -2.222e-17 5.0000e-02 2.586e-02
0.05 0.30612244898 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 6.885e-03 0. -64.4724 0. 2.455e-08 0.8938 -1.989e-17 5.0000e-02 2.586e-02
0.05 0.285714285714 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 3.771e-03 0. -64.4724 0. 1.565e-08 0.6112 -1.528e-17 5.0000e-02 2.586e-02
0.05 0.265306122449 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.966e-03 0. -64.4724 0. 9.183e-09 0.3873 -1.111e-17 5.0000e-02 2.586e-02
0.05 0.244897959184 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 9.858e-04 0. -64.4724 0. 4.979e-09 0.2251 -5.814e-18 5.0000e-02 2.586e-02
0.05 0.224489795918 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.802e-04 0. -64.4724 0. 2.522e-09 0.1202 -2.777e-18 5.0000e-02 2.586e-02
0.05 0.204081632653 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.289e-04 0. -64.4724 0. 1.216e-09 5.993e-02 1.420e-18 5.0000e-02 2.586e-02
0.05 0.183673469388 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.074e-04 0. -64.4724 0. 5.686e-10 2.859e-02 2.839e-18 5.0000e-02 2.586e-02
0.05 0.163265306122 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.990e-05 0. -64.4724 0. 2.617e-10 1.330e-02 9.710e-18 5.0000e-02 2.586e-02
0.05 0.142857142857 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.301e-05 0. -64.4724 0. 1.195e-10 6.109e-03 1.108e-17 5.0000e-02 2.586e-02
0.05 0.122448979592 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.056e-05 0. -64.4724 0. 5.439e-11 2.790e-03 1.486e-17 5.0000e-02 2.586e-02
0.05 0.102040816327 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.827e-06 0. -64.4724 0. 2.472e-11 1.270e-03 1.964e-17 5.0000e-02 2.586e-02
0.05 0.0816326530612 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.203e-06 0. -64.4724 0. 1.123e-11 5.777e-04 2.464e-17 5.0000e-02 2.586e-02
0.05 0.0612244897959 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.004e-06 0. -64.4724 0. 5.100e-12 2.626e-04 2.738e-17 5.0000e-02 2.586e-02
0.05 0.0408163265306 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.569e-07 0. -64.4724 0. 2.316e-12 1.193e-04 3.100e-17 5.0000e-02 2.586e-02
