vd vg vs vb l alpha1_p alpha11_p t_fe idsperum qms vfes ids sweepvar qm qmd
0.7 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.204e-07 -5.505e-03 -1.256e-03 1.107e-08 0.70000 2.771e-03 -5.684e-07
0.7 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.551e-07 -7.063e-03 -1.395e-03 1.427e-08 0.70000 3.553e-03 -7.321e-07
0.7 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.999e-07 -9.054e-03 -1.574e-03 1.839e-08 0.70000 4.554e-03 -9.427e-07
0.7 0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.578e-07 -1.160e-02 -1.803e-03 2.372e-08 0.70000 5.835e-03 -1.214e-06
0.7 0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 3.322e-07 -1.482e-02 -2.094e-03 3.056e-08 0.70000 7.462e-03 -1.560e-06
0.7 0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 4.287e-07 -1.895e-02 -2.466e-03 3.944e-08 0.70000 9.547e-03 -2.007e-06
0.7 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 5.548e-07 -2.423e-02 -2.945e-03 5.104e-08 0.70000 1.223e-02 -2.586e-06
0.7 0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.163e-07 -3.086e-02 -3.548e-03 6.590e-08 0.70000 1.560e-02 -3.317e-06
0.7 0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.284e-07 -3.933e-02 -4.322e-03 8.541e-08 0.70000 1.993e-02 -4.261e-06
0.7 0.30404040404 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.211e-06 -5.028e-02 -5.327e-03 1.114e-07 0.70000 2.556e-02 -5.490e-06
0.7 0.311111111111 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.581e-06 -6.409e-02 -6.604e-03 1.455e-07 0.70000 3.271e-02 -7.050e-06
0.7 0.318181818182 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.075e-06 -8.176e-02 -8.251e-03 1.909e-07 0.70000 4.193e-02 -9.050e-06
0.7 0.325252525253 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.723e-06 -0.1038 -1.032e-02 2.505e-07 0.70000 5.352e-02 -1.154e-05
0.7 0.332323232323 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 3.629e-06 -0.1328 -1.309e-02 3.339e-07 0.70000 6.902e-02 -1.479e-05
0.7 0.339393939394 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 4.907e-06 -0.1710 -1.678e-02 4.514e-07 0.70000 8.968e-02 -1.900e-05
0.7 0.346464646465 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 6.778e-06 -0.2225 -2.184e-02 6.235e-07 0.70000 0.1180 -2.448e-05
0.7 0.353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.695e-06 -0.2951 -2.911e-02 8.920e-07 0.70000 0.1588 -3.179e-05
0.7 0.360606060606 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.482e-05 -0.4078 -4.065e-02 1.364e-06 0.70000 0.2236 -4.209e-05
0.7 0.367676767677 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 6.543e-04 -5.8408 -0.4052 6.020e-05 0.70000 3.7612 -2.418e-03
0.7 0.374747474747 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 6.542e-04 -5.8396 -0.4052 6.018e-05 0.70000 3.7604 -2.415e-03
0.7 0.381818181818 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 6.675e-04 -5.9338 -0.4028 6.141e-05 0.70000 3.8234 -2.658e-03
0.7 0.388888888889 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 6.793e-04 -6.0173 -0.4003 6.249e-05 0.70000 3.8792 -2.897e-03
0.7 0.39595959596 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 6.912e-04 -6.1017 -0.3974 6.359e-05 0.70000 3.9357 -3.162e-03
0.7 0.40303030303 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.020e-04 -6.1780 -0.3944 6.458e-05 0.70000 3.9867 -3.423e-03
0.7 0.410101010101 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.129e-04 -6.2548 -0.3912 6.558e-05 0.70000 4.0382 -3.711e-03
0.7 0.417171717172 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.230e-04 -6.3268 -0.3878 6.652e-05 0.70000 4.0864 -4.003e-03
0.7 0.424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.326e-04 -6.3948 -0.3843 6.740e-05 0.70000 4.1319 -4.301e-03
0.7 0.431313131313 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.421e-04 -6.4618 -0.3807 6.827e-05 0.70000 4.1768 -4.619e-03
0.7 0.438383838384 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.512e-04 -6.5267 -0.3769 6.911e-05 0.70000 4.2203 -4.950e-03
0.7 0.445454545455 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.601e-04 -6.5895 -0.3730 6.993e-05 0.70000 4.2624 -5.294e-03
0.7 0.452525252525 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.687e-04 -6.6504 -0.3690 7.072e-05 0.70000 4.3033 -5.652e-03
0.7 0.459595959596 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.770e-04 -6.7096 -0.3649 7.149e-05 0.70000 4.3430 -6.024e-03
0.7 0.466666666667 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.852e-04 -6.7671 -0.3607 7.223e-05 0.70000 4.3816 -6.410e-03
0.7 0.473737373737 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.931e-04 -6.8232 -0.3565 7.296e-05 0.70000 4.4192 -6.811e-03
0.7 0.480808080808 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.009e-04 -6.8786 -0.3521 7.368e-05 0.70000 4.4564 -7.232e-03
0.7 0.487878787879 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.083e-04 -6.9312 -0.3477 7.436e-05 0.70000 4.4918 -7.658e-03
0.7 0.494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.156e-04 -6.9833 -0.3433 7.503e-05 0.70000 4.5268 -8.105e-03
0.7 0.50202020202 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.228e-04 -7.0349 -0.3387 7.570e-05 0.70000 4.5614 -8.573e-03
0.7 0.509090909091 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.298e-04 -7.0841 -0.3342 7.634e-05 0.70000 4.5945 -9.046e-03
0.7 0.516161616162 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.366e-04 -7.1329 -0.3295 7.697e-05 0.70000 4.6273 -9.541e-03
0.7 0.523232323232 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.433e-04 -7.1807 -0.3248 7.759e-05 0.70000 4.6595 -1.005e-02
