vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.080e-09 -3.803e-04 -3.4565 20.1382 -5.9869 -1.300e-04 -3.918e-04 2.834e-10 -3.711e-08 7.7047 -1.301e-04 1.950e-22 0.40000 -1.733e-06 -3.711e-08 0.1413
0.4 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.982e-09 -3.803e-04 -3.4565 20.1385 -5.9869 -1.681e-04 -3.952e-04 3.663e-10 -4.796e-08 7.7050 -1.682e-04 2.432e-22 0.40000 -2.240e-06 -4.796e-08 0.1485
0.4 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.136e-09 -3.803e-04 -3.4565 20.1395 -5.9869 -2.168e-04 -3.996e-04 4.726e-10 -6.181e-08 7.7060 -2.169e-04 3.048e-22 0.40000 -2.889e-06 -6.181e-08 0.1556
0.4 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.617e-09 -3.803e-04 -3.4565 20.1397 -5.9869 -2.792e-04 -4.051e-04 6.088e-10 -7.963e-08 7.7062 -2.795e-04 3.838e-22 0.40000 -3.721e-06 -7.963e-08 0.1626
0.4 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.535e-09 -3.803e-04 -3.4565 20.1399 -5.9869 -3.601e-04 -4.123e-04 7.852e-10 -1.027e-07 7.7063 -3.606e-04 4.861e-22 0.40000 -4.799e-06 -1.027e-07 0.1697
0.4 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.101e-08 -3.803e-04 -3.4565 20.1401 -5.9869 -4.645e-04 -4.216e-04 1.013e-09 -1.325e-07 7.7066 -4.653e-04 6.181e-22 0.40000 -6.191e-06 -1.325e-07 0.1768
0.4 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.420e-08 -3.803e-04 -3.4565 20.1405 -5.9869 -5.987e-04 -4.336e-04 1.306e-09 -1.709e-07 7.7070 -6.001e-04 7.877e-22 0.40000 -7.980e-06 -1.709e-07 0.1838
0.4 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.831e-08 -3.803e-04 -3.4565 20.1409 -5.9869 -7.716e-04 -4.490e-04 1.684e-09 -2.203e-07 7.7074 -7.739e-04 1.006e-21 0.40000 -1.028e-05 -2.203e-07 0.1909
0.4 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.358e-08 -3.803e-04 -3.4565 20.1415 -5.9869 -9.936e-04 -4.688e-04 2.170e-09 -2.837e-07 7.7080 -9.973e-04 1.286e-21 0.40000 -1.324e-05 -2.837e-07 0.1980
0.4 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.042e-08 -3.803e-04 -3.4565 20.1422 -5.9869 -1.281e-03 -4.944e-04 2.798e-09 -3.659e-07 7.7087 -1.287e-03 1.649e-21 0.40000 -1.707e-05 -3.659e-07 0.2050
