vd vg vs vb l alpha1_p alpha11_p t_fe idsperum qms vfes ids sweepvar qm qmd
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.104e-11 -9.798e-07 0. 1.935e-12 0.70000 1.096e-05 -9.940e-11
0.7 0.010101010101 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.023e-11 -1.408e-06 0. 2.781e-12 0.70000 1.131e-05 -1.428e-10
0.7 0.020202020202 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.343e-11 -2.023e-06 0. 3.996e-12 0.70000 1.175e-05 -2.052e-10
0.7 0.030303030303 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.240e-11 -2.906e-06 0. 5.741e-12 0.70000 1.232e-05 -2.949e-10
0.7 0.040404040404 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.966e-11 -4.176e-06 0. 8.249e-12 0.70000 1.308e-05 -4.237e-10
0.7 0.0505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.288e-10 -6.000e-06 0. 1.185e-11 0.70000 1.412e-05 -6.087e-10
0.7 0.0606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.851e-10 -8.621e-06 0. 1.703e-11 0.70000 1.555e-05 -8.747e-10
0.7 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.660e-10 -1.239e-05 0. 2.447e-11 0.70000 1.756e-05 -1.257e-09
0.7 0.0808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.822e-10 -1.780e-05 0. 3.516e-11 0.70000 2.039e-05 -1.806e-09
0.7 0.0909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.491e-10 -2.557e-05 0. 5.052e-11 0.70000 2.440e-05 -2.594e-09
0.7 0.10101010101 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.889e-10 -3.674e-05 0. 7.258e-11 0.70000 3.010e-05 -3.728e-09
0.7 0.111111111111 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.133e-09 -5.278e-05 0. 1.043e-10 0.70000 3.824e-05 -5.356e-09
0.7 0.121212121212 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.628e-09 -7.582e-05 0. 1.498e-10 0.70000 4.988e-05 -7.695e-09
0.7 0.131313131313 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.340e-09 -1.089e-04 0. 2.152e-10 0.70000 6.655e-05 -1.105e-08
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.361e-09 -1.564e-04 0. 3.092e-10 0.70000 9.043e-05 -1.588e-08
0.7 0.151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.828e-09 -2.247e-04 0. 4.442e-10 0.70000 1.247e-04 -2.281e-08
0.7 0.161616161616 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.934e-09 -3.226e-04 0. 6.380e-10 0.70000 1.737e-04 -3.277e-08
0.7 0.171717171717 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.958e-09 -4.630e-04 0. 9.162e-10 0.70000 2.441e-04 -4.706e-08
0.7 0.181818181818 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.430e-08 -6.643e-04 0. 1.315e-09 0.70000 3.449e-04 -6.757e-08
0.7 0.191919191919 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.052e-08 -9.524e-04 0. 1.888e-09 0.70000 4.892e-04 -9.698e-08
0.7 0.20202020202 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.944e-08 -1.364e-03 0. 2.709e-09 0.70000 6.955e-04 -1.391e-07
0.7 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.221e-08 -1.952e-03 0. 3.884e-09 0.70000 9.899e-04 -1.995e-07
0.7 0.222222222222 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.047e-08 -2.789e-03 0. 5.564e-09 0.70000 1.409e-03 -2.858e-07
0.7 0.232323232323 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.654e-08 -3.976e-03 0. 7.961e-09 0.70000 2.004e-03 -4.088e-07
0.7 0.242424242424 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.236e-07 -5.653e-03 0. 1.138e-08 0.70000 2.845e-03 -5.839e-07
0.7 0.252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.763e-07 -8.007e-03 0. 1.622e-08 0.70000 4.028e-03 -8.318e-07
