vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.7 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.587e-10 -3.803e-04 -4.464e-05 -3.833e-04 8.820e-11 0.70000 3.412e-05 -4.530e-09
0.05 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.775e-10 -3.808e-04 -3.841e-05 -3.833e-04 6.233e-11 5.0000e-02 3.448e-05 -6.510e-06
0.7 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.236e-09 -3.803e-04 -5.753e-05 -3.839e-04 1.137e-10 0.70000 4.065e-05 -5.838e-09
0.05 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.744e-10 -3.810e-04 -4.958e-05 -3.839e-04 8.045e-11 5.0000e-02 4.109e-05 -8.402e-06
0.7 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.592e-09 -3.803e-04 -7.414e-05 -3.846e-04 1.465e-10 0.70000 4.904e-05 -7.524e-09
0.05 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.129e-09 -3.812e-04 -6.398e-05 -3.847e-04 1.038e-10 5.0000e-02 4.959e-05 -1.084e-05
0.7 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.052e-09 -3.803e-04 -9.554e-05 -3.856e-04 1.888e-10 0.70000 5.982e-05 -9.697e-09
0.05 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.456e-09 -3.815e-04 -8.257e-05 -3.856e-04 1.340e-10 5.0000e-02 6.055e-05 -1.400e-05
0.7 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.645e-09 -3.803e-04 -1.231e-04 -3.868e-04 2.433e-10 0.70000 7.369e-05 -1.250e-08
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.880e-09 -3.819e-04 -1.066e-04 -3.869e-04 1.729e-10 5.0000e-02 7.465e-05 -1.807e-05
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.408e-09 -3.803e-04 -1.586e-04 -3.884e-04 3.135e-10 0.70000 9.153e-05 -1.610e-08
0.05 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.426e-09 -3.823e-04 -1.375e-04 -3.885e-04 2.232e-10 5.0000e-02 9.284e-05 -2.332e-05
0.7 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.392e-09 -3.803e-04 -2.044e-04 -3.905e-04 4.041e-10 0.70000 1.145e-04 -2.075e-08
0.05 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.131e-09 -3.829e-04 -1.774e-04 -3.906e-04 2.880e-10 5.0000e-02 1.163e-04 -3.009e-05
0.7 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.660e-09 -3.803e-04 -2.633e-04 -3.931e-04 5.207e-10 0.70000 1.441e-04 -2.674e-08
0.05 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.040e-09 -3.837e-04 -2.289e-04 -3.933e-04 3.717e-10 5.0000e-02 1.465e-04 -3.884e-05
0.7 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.293e-09 -3.803e-04 -3.392e-04 -3.965e-04 6.710e-10 0.70000 1.821e-04 -3.446e-08
0.05 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.214e-09 -3.847e-04 -2.954e-04 -3.967e-04 4.796e-10 5.0000e-02 1.854e-04 -5.014e-05
0.7 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.397e-09 -3.803e-04 -4.370e-04 -4.009e-04 8.645e-10 0.70000 2.311e-04 -4.441e-08
0.05 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.728e-09 -3.860e-04 -3.810e-04 -4.012e-04 6.189e-10 5.0000e-02 2.356e-04 -6.471e-05
0.7 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.211e-08 -3.803e-04 -5.627e-04 -4.065e-04 1.114e-09 0.70000 2.940e-04 -5.722e-08
0.05 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.681e-09 -3.877e-04 -4.915e-04 -4.069e-04 7.986e-10 5.0000e-02 3.003e-04 -8.352e-05
0.7 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.560e-08 -3.803e-04 -7.246e-04 -4.138e-04 1.435e-09 0.70000 3.751e-04 -7.372e-08
0.05 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.120e-08 -3.898e-04 -6.338e-04 -4.144e-04 1.030e-09 5.0000e-02 3.838e-04 -1.078e-04
0.7 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.010e-08 -3.803e-04 -9.327e-04 -4.231e-04 1.849e-09 0.70000 4.793e-04 -9.497e-08
0.05 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.445e-08 -3.926e-04 -8.172e-04 -4.239e-04 1.329e-09 5.0000e-02 4.912e-04 -1.392e-04
0.7 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.588e-08 -3.803e-04 -1.200e-03 -4.350e-04 2.381e-09 0.70000 6.133e-04 -1.223e-07
0.05 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.864e-08 -3.962e-04 -1.053e-03 -4.362e-04 1.715e-09 5.0000e-02 6.297e-04 -1.796e-04
0.7 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.334e-08 -3.803e-04 -1.544e-03 -4.504e-04 3.067e-09 0.70000 7.854e-04 -1.575e-07
0.05 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.404e-08 -4.009e-04 -1.357e-03 -4.520e-04 2.212e-09 5.0000e-02 8.080e-04 -2.319e-04
0.7 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.293e-08 -3.803e-04 -1.985e-03 -4.702e-04 3.949e-09 0.70000 1.006e-03 -2.029e-07
0.05 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.100e-08 -4.069e-04 -1.748e-03 -4.724e-04 2.852e-09 5.0000e-02 1.037e-03 -2.993e-04
0.7 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.526e-08 -3.803e-04 -2.551e-03 -4.955e-04 5.084e-09 0.70000 1.290e-03 -2.611e-07
0.05 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.996e-08 -4.146e-04 -2.251e-03 -4.986e-04 3.677e-09 5.0000e-02 1.332e-03 -3.865e-04
0.7 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.113e-08 -3.803e-04 -3.275e-03 -5.279e-04 6.544e-09 0.70000 1.653e-03 -3.361e-07
0.05 0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.151e-08 -4.246e-04 -2.896e-03 -5.323e-04 4.739e-09 5.0000e-02 1.712e-03 -4.990e-04
0.7 0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.151e-08 -3.803e-04 -4.202e-03 -5.694e-04 8.419e-09 0.70000 2.117e-03 -4.323e-07
0.05 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.637e-08 -4.375e-04 -3.723e-03 -5.756e-04 6.106e-09 5.0000e-02 2.199e-03 -6.443e-04
0.7 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.177e-07 -3.803e-04 -5.385e-03 -6.225e-04 1.083e-08 0.70000 2.711e-03 -5.558e-07
0.05 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.548e-08 -4.542e-04 -4.782e-03 -6.310e-04 7.864e-09 5.0000e-02 2.823e-03 -8.321e-04
0.7 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.513e-07 -3.803e-04 -6.893e-03 -6.901e-04 1.392e-08 0.70000 3.468e-03 -7.142e-07
0.05 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.100e-07 -4.757e-04 -6.136e-03 -7.021e-04 1.012e-08 5.0000e-02 3.623e-03 -1.075e-03
0.7 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.944e-07 -3.803e-04 -8.811e-03 -7.762e-04 1.789e-08 0.70000 4.432e-03 -9.169e-07
0.05 0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.416e-07 -5.036e-04 -7.863e-03 -7.930e-04 1.303e-08 5.0000e-02 4.646e-03 -1.388e-03
0.7 0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.497e-07 -3.804e-04 -1.124e-02 -8.856e-04 2.297e-08 0.70000 5.657e-03 -1.176e-06
0.05 0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.821e-07 -5.397e-04 -1.006e-02 -9.091e-04 1.675e-08 5.0000e-02 5.953e-03 -1.794e-03
0.7 0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.205e-07 -3.804e-04 -1.432e-02 -1.024e-03 2.949e-08 0.70000 7.208e-03 -1.506e-06
0.05 0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.340e-07 -5.863e-04 -1.285e-02 -1.057e-03 2.153e-08 5.0000e-02 7.619e-03 -2.320e-03
0.7 0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.111e-07 -3.804e-04 -1.820e-02 -1.199e-03 3.782e-08 0.70000 9.169e-03 -1.926e-06
0.05 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.006e-07 -6.468e-04 -1.639e-02 -1.245e-03 2.765e-08 5.0000e-02 9.740e-03 -3.000e-03
0.7 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.269e-07 -3.805e-04 -2.307e-02 -1.420e-03 4.848e-08 0.70000 1.164e-02 -2.458e-06
0.05 0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.858e-07 -7.252e-04 -2.086e-02 -1.485e-03 3.549e-08 5.0000e-02 1.243e-02 -3.882e-03
0.7 0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.748e-07 -3.805e-04 -2.917e-02 -1.697e-03 6.208e-08 0.70000 1.474e-02 -3.130e-06
0.05 0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.948e-07 -8.270e-04 -2.648e-02 -1.788e-03 4.552e-08 5.0000e-02 1.585e-02 -5.028e-03
0.7 0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.636e-07 -3.806e-04 -3.677e-02 -2.043e-03 7.945e-08 0.70000 1.862e-02 -3.975e-06
0.05 0.30404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.340e-07 -9.594e-04 -3.354e-02 -2.171e-03 5.833e-08 5.0000e-02 2.016e-02 -6.519e-03
0.7 0.30404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.104e-06 -3.807e-04 -4.618e-02 -2.475e-03 1.016e-07 0.70000 2.345e-02 -5.029e-06
0.05 0.311111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.119e-07 -1.132e-03 -4.236e-02 -2.655e-03 7.470e-08 5.0000e-02 2.560e-02 -8.461e-03
0.7 0.311111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.411e-06 -3.808e-04 -5.780e-02 -3.010e-03 1.298e-07 0.70000 2.944e-02 -6.338e-06
0.05 0.318181818182 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.039e-06 -1.357e-03 -5.333e-02 -3.264e-03 9.559e-08 5.0000e-02 3.246e-02 -1.100e-02
0.7 0.318181818182 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.801e-06 -3.810e-04 -7.204e-02 -3.672e-03 1.657e-07 0.70000 3.684e-02 -7.949e-06
0.05 0.325252525253 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.329e-06 -1.653e-03 -6.694e-02 -4.029e-03 1.223e-07 5.0000e-02 4.108e-02 -1.433e-02
0.7 0.325252525253 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.297e-06 -3.811e-04 -8.940e-02 -4.485e-03 2.113e-07 0.70000 4.594e-02 -9.916e-06
0.05 0.332323232323 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.699e-06 -2.042e-03 -8.376e-02 -4.989e-03 1.563e-07 5.0000e-02 5.189e-02 -1.870e-02
0.7 0.332323232323 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.927e-06 -3.814e-04 -0.1105 -5.480e-03 2.693e-07 0.70000 5.708e-02 -1.229e-05
0.05 0.339393939394 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.172e-06 -2.556e-03 -0.1045 -6.194e-03 1.998e-07 5.0000e-02 6.545e-02 -2.449e-02
0.7 0.339393939394 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.728e-06 -3.816e-04 -0.1359 -6.692e-03 3.429e-07 0.70000 7.066e-02 -1.513e-05
0.05 0.346464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.777e-06 -3.238e-03 -0.1300 -7.704e-03 2.555e-07 5.0000e-02 8.246e-02 -3.217e-02
0.7 0.346464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.745e-06 -3.819e-04 -0.1663 -8.163e-03 4.365e-07 0.70000 8.713e-02 -1.849e-05
0.05 0.353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.553e-06 -4.151e-03 -0.1613 -9.600e-03 3.269e-07 5.0000e-02 0.1038 -4.245e-02
0.7 0.353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.037e-06 -3.823e-04 -0.2026 -9.940e-03 5.554e-07 0.70000 0.1070 -2.239e-05
0.05 0.360606060606 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.554e-06 -5.379e-03 -0.1997 -1.199e-02 4.189e-07 5.0000e-02 0.1307 -5.628e-02
0.7 0.360606060606 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.680e-06 -3.827e-04 -0.2458 -1.208e-02 7.066e-07 0.70000 0.1310 -2.688e-05
